Frequency Power
1.940700975979635368e-01 1.403735654138828963e-03
7.115903578591996625e-01 7.699071553456898406e-03
1.099730553055126681e+00 2.428331909883633434e-03
1.552560780783708294e+00 3.285033607511291844e-03
1.876010943446980939e+00 5.160738318654431618e-03
2.264151138642907846e+00 5.229194654985692145e-04
2.716981366371489681e+00 6.048579796934067077e-05
3.299191659165380042e+00 3.224123768121584638e-04
4.075472049557234300e+00 1.991555494623369440e-04
4.463612244753161207e+00 6.149583087679682820e-05
5.239892635145015909e+00 1.247136990779348735e-04
5.692722862873597300e+00 6.878111006274028455e-06
6.210243123134833176e+00 6.593055941232913667e-05
6.598383318330760083e+00 2.981779258628049770e-05
7.051213546059341475e+00 4.082677194410284254e-05
7.439353741255269270e+00 8.145107630274191950e-05
7.956874001516505146e+00 1.371542285271189763e-05
8.345014196712432053e+00 2.667625360650709187e-05
8.862534456973667929e+00 2.303024284676022303e-05
9.832884944963485196e+00 1.799321732024980705e-05
1.028571517269206659e+01 2.189152342844463494e-05
1.073854540042064976e+01 6.871692687313470506e-05
1.119137562814923115e+01 9.664920516148941643e-05
1.222641614867170290e+01 1.586409789039852481e-05
1.274393640893293878e+01 1.584747156228848107e-05
1.313207660412886568e+01 2.307145103212663177e-05
1.358490683185744707e+01 2.106935634571763740e-05
1.397304702705337398e+01 1.618567623688116253e-06
1.436118722224930089e+01 1.278242014789017501e-05
1.474932741744522957e+01 2.573635712202457823e-05
1.526684767770646545e+01 2.804133043238558358e-05
1.591374800303301029e+01 3.196748901243232782e-05
1.623719816569628094e+01 3.263035684989840362e-05
1.656064832835955514e+01 1.612272276528040784e-05
1.688409849102282934e+01 9.257051388777989714e-06
1.759568884888202689e+01 1.354250153440450333e-05
1.778975894647999212e+01 1.344888065164985755e-05
1.811320910914326276e+01 1.164422143337241706e-05
1.837196923927388070e+01 1.473963908796812594e-05
1.876010943446980761e+01 3.668462486004792365e-05
1.921293966219839078e+01 4.501559151442667518e-05
1.966576988992697039e+01 1.785135628764294229e-05
1.998922005259024459e+01 1.138014006674937340e-05
2.057143034538413318e+01 1.990096500135167719e-05
2.089488050804740737e+01 9.285555967417179524e-06
2.141240076830864325e+01 7.292467635824913181e-06
2.186523099603722642e+01 1.822569997043993996e-05
2.218868115870049706e+01 1.093524527349288777e-05
2.244744128883111500e+01 1.869102464767026522e-05
2.277089145149438920e+01 2.060147397636053837e-05
2.328841171175562508e+01 2.492361269819906610e-05
2.354717184188624302e+01 3.172530439126855739e-05
2.387062200454951366e+01 8.780089325809335046e-06
2.438814226481074954e+01 6.240887264483554384e-06
2.471159242747402374e+01 2.456903291821867588e-05
2.529380272026791587e+01 3.707811744441995483e-06
2.555256285039853381e+01 1.824868746741349675e-05
2.581132298052915175e+01 1.021432844445745542e-05
2.619946317572507866e+01 2.267061186616745492e-05
2.652291333838834930e+01 1.049252952795495255e-05
2.691105353358427621e+01 2.695089046692904236e-05
2.729919372878020312e+01 4.974015922274848736e-06
2.762264389144347732e+01 1.808108392359236466e-05
2.801078408663940422e+01 2.703225273258986908e-05
2.839892428183533113e+01 9.703531340136963647e-06
2.865768441196594907e+01 8.397917058210055207e-06
2.898113457462922327e+01 3.951534912468897406e-05
2.936927476982515017e+01 1.775327295572499262e-05
2.962803489995576811e+01 3.083178218221924272e-06
2.995148506261903876e+01 5.983956641735874651e-06
3.033962525781496566e+01 6.970670993706501014e-06
3.072776545301089257e+01 1.044979878080231523e-05
3.111590564820681948e+01 5.042360128390963717e-06
3.137466577833743742e+01 1.267362915717334770e-05
3.176280597353336432e+01 3.658334593067020255e-05
3.240970629885990917e+01 2.527534477428629043e-05
3.273315646152317981e+01 3.816270540159549309e-06
3.305660662418645757e+01 1.396125103059315185e-05
3.331536675431707550e+01 1.797272616145709691e-06
3.363881691698034615e+01 1.056292207290095817e-05
3.415633717724158203e+01 8.349897777750652636e-06
3.480323750256813042e+01 7.572711480501025567e-06
3.512668766523140107e+01 2.513195882111804136e-06
3.538544779536201901e+01 2.247218642833727673e-05
3.570889795802528965e+01 2.035590534405551974e-05
3.603234812068856030e+01 1.453106296705716510e-05
3.635579828335183805e+01 8.988716502873180802e-06
3.661455841348245599e+01 2.681473211379394348e-05
3.706738864121103205e+01 4.626605396730833980e-06
3.739083880387430980e+01 3.073308546057995236e-06
3.771428896653758045e+01 5.254747269978024164e-06
3.797304909666819839e+01 1.286660666708330603e-05
3.823180922679881633e+01 1.844219139773671054e-05
3.907277964972332285e+01 3.837181874390560175e-05
3.978437000758252395e+01 2.273233085534005136e-05
3.997844010518048918e+01 1.885942906418788269e-05
4.030189026784375983e+01 7.195472799190244532e-06
4.081941052810499571e+01 1.982947104495697617e-05
4.114286069076826635e+01 3.439268252028091204e-05
4.153100088596419681e+01 5.998694199504874493e-06
4.185445104862746746e+01 2.431213675087833868e-05
4.217790121129074521e+01 1.243446421713324953e-05
4.243666134142136315e+01 3.127332907051042784e-05
4.276011150408463379e+01 2.734277012577821927e-05
4.327763176434586967e+01 1.866936874674677077e-05
4.360108192700914032e+01 2.024391768160167411e-05
4.424798225233568871e+01 2.214392321611226343e-05
4.489488257766223001e+01 4.420349694876112337e-05
4.528302277285816047e+01 7.310932440418051950e-06
4.554178290298877840e+01 2.496008420696118566e-05
4.580054303311939634e+01 1.011396425732968503e-05
4.605930316325001428e+01 4.083707116115738950e-06
4.638275332591328493e+01 7.738040715090551062e-06
4.664151345604390286e+01 2.315481141070444966e-06
4.709434368377248603e+01 1.212246325590321218e-05
4.748248387896840939e+01 8.754053078149595345e-06
4.787062407416433985e+01 1.689345567867392786e-05
4.819407423682761049e+01 1.191768430823905439e-05
4.871159449708884637e+01 8.090591847062915123e-07
4.903504465975211701e+01 4.314529641439936416e-06
4.961725495254601270e+01 1.894985796849029446e-05
5.045822537547051923e+01 8.642097491130641411e-06
5.084636557066644968e+01 1.552996114097167853e-05
5.142857586346033827e+01 1.659181324195474608e-05
5.194609612372157414e+01 4.167048663954038388e-05
5.265768648158077525e+01 7.557209528827127760e-06
5.298113664424404590e+01 1.609734118799765619e-05
5.330458680690731654e+01 3.007959394200001801e-05
5.375741703463589971e+01 1.066010687811786842e-05
5.408086719729917036e+01 5.615041377807388508e-06
5.446900739249510082e+01 1.314897146092565967e-05
5.479245755515837146e+01 1.376233770371045694e-06
5.505121768528898940e+01 6.240866280890788456e-06
5.537466784795226005e+01 6.120862235801917047e-06
5.569811801061553780e+01 6.800239407190244484e-06
5.621563827087677367e+01 3.012462711627989024e-05
