Frequency Power
4.534653465346534240e-01 2.330052826019874956e-01
1.109900990099009999e+00 4.797726494632320593e-01
1.424752475247524908e+00 5.119993222043396353e-01
1.650495049504950629e+00 2.194190762044700149e-01
1.916831683168316980e+00 7.972578592437397360e-02
2.158415841584158557e+00 2.684592314527572410e-01
2.388118811881188019e+00 1.900154012269841541e-01
2.603960396039604053e+00 5.854453610751265968e-02
2.893069306930692974e+00 1.195510776158444505e-01
3.119801980198019908e+00 8.372618719068446180e-02
3.855445544554455761e+00 2.429667180542892657e-01
4.477227722772276763e+00 2.059358642167639086e-01
4.824752475247524153e+00 1.718991013680689350e-01
5.389108910891089010e+00 1.964556339512829319e-01
5.603960396039603609e+00 2.934842065444340231e-01
5.913861386138613341e+00 4.476748081950888969e-02
6.074257425742573879e+00 3.864638374367767443e-02
6.410891089108910812e+00 9.458326729200686178e-02
6.600990099009901080e+00 7.883166688748520501e-02
6.905940594059405413e+00 1.234512538513934249e-02
7.288118811881187931e+00 1.558158747053920157e-01
7.486138613861386126e+00 2.449886446246401783e-01
7.826732673267326135e+00 1.407034748008000880e-01
7.995049504950494601e+00 1.200851800060908359e-01
8.296039603960394970e+00 1.234954778952519483e-01
8.444554455445544505e+00 1.217462513069026003e-01
8.780198019801979115e+00 1.853946829679698205e-01
8.965346534653464872e+00 2.815112142264342143e-01
9.315841584158414790e+00 2.629334083034607361e-01
