Frequency Power
1.517358581513191496e+01 1.519566963089853445e-04
3.338188879329021574e+01 9.500506022992043253e-05
4.855547460842213070e+01 1.682727265158564855e-05
5.765962609750128109e+01 1.677648049455622535e-05
7.586792907565957478e+01 1.160619711286932987e-05
9.711094921684426140e+01 1.459310228608942648e-05
1.122845350319761764e+02 7.754121813579528341e-06
1.335275551731608630e+02 4.643715785993516374e-06
1.547705753143455354e+02 6.300584716874298418e-07
1.699441611294774646e+02 8.789332973553172582e-06
1.820830297815829795e+02 4.170633868611501003e-06
1.972566155967149086e+02 2.594374186653016928e-06
2.276037872269787385e+02 1.558544530709156471e-06
2.397426558790842819e+02 2.319215628205989208e-06
2.549162416942161826e+02 9.947416624025070476e-06
2.731245446723744976e+02 6.957418537527058932e-06
2.852634133244800410e+02 5.315653019934615018e-06
3.125758677917174850e+02 7.177794005296045085e-06
3.307841707698757432e+02 5.221299875197114690e-06
3.429230394219812865e+02 3.048625007096233632e-06
3.550619080740868299e+02 5.006715265823630762e-06
3.702354938892187306e+02 9.403751625698004098e-06
3.823743625413242739e+02 9.234246021805272110e-06
3.975479483564561747e+02 2.295573355675520318e-06
4.096868170085617180e+02 1.804208502999842720e-06
4.248604028236936188e+02 3.444176683551361915e-06
4.369992714757991621e+02 8.539865574185484569e-07
4.491381401279047054e+02 5.113747956912436337e-06
4.673464431060630204e+02 1.555657260284804620e-06
4.794853117581685638e+02 1.867770495392536612e-06
5.007283318993532362e+02 1.688067214941107450e-06
5.219713520405379086e+02 3.069930746835416282e-06
5.371449378556698093e+02 4.656894592455013513e-06
5.553532408338280675e+02 1.209778775156085965e-06
5.765962609750127967e+02 2.894873403025683512e-06
5.948045639531710549e+02 2.125202833674797696e-06
6.130128669313294267e+02 2.449728073128859232e-06
6.372906042355405134e+02 5.534873856762974425e-06
6.524641900506724141e+02 5.097103181861483620e-06
6.676377758658043149e+02 3.284413917622032867e-06
6.828113616809362156e+02 2.082467020143080569e-06
7.010196646590944738e+02 6.078013769485399379e-07
7.222626848002792030e+02 3.809614138852853500e-06
7.404709877784374612e+02 4.111240220420142229e-06
7.677834422456749053e+02 4.573848517473780115e-06
7.829570280608068060e+02 6.120255977607054912e-07
7.950958967129123494e+02 7.215692463838952765e-06
8.102694825280442501e+02 2.990317077604078477e-06
8.224083511801497934e+02 3.254363009422696641e-06
8.345472198322553368e+02 9.292544080873341993e-06
8.497208056473872375e+02 1.750715900353502275e-05
8.739985429515983242e+02 1.325205114283164293e-04
8.922068459297566960e+02 4.916429322796942326e-04
9.134498660709413116e+02 5.592413387112801142e-05
9.286234518860732123e+02 1.308918055429576395e-05
9.407623205381787557e+02 5.396167167822106580e-06
9.529011891902842990e+02 1.418031944878388222e-05
9.680747750054161997e+02 2.309613098685078721e-06
9.893177951466009290e+02 1.344646007590572687e-06
1.004491380961732830e+03 2.329306040748655337e-06
1.034838552591996631e+03 4.835183427412537246e-07
1.056081572733181247e+03 1.330760401307625067e-06
1.068220441385286904e+03 9.677241692389536802e-07
1.092498178689497990e+03 1.580622572561063283e-06
1.107671764504629891e+03 9.212151431677651951e-06
1.122845350319761792e+03 3.038906830041176211e-06
1.134984218971867222e+03 1.472722064445912333e-06
1.150157804786999122e+03 4.276486985435093041e-06
1.171400824928183965e+03 2.322777727889754124e-06
1.189609127906342110e+03 7.320916150612575500e-07
1.198713279395421296e+03 7.292292287281772621e-07
1.213886865210553196e+03 5.215783729268599921e-07
1.226025733862658853e+03 4.057895041056510912e-07
1.238164602514764283e+03 5.338873514608749123e-07
1.253338188329896184e+03 3.365793877458937856e-06
1.277615925634107271e+03 7.422430986525594779e-06
1.292789511449239171e+03 4.581764648489415207e-06
1.317067248753450258e+03 2.606931430099481330e-06
1.329206117405555915e+03 3.556747534388880480e-06
1.344379703220687816e+03 2.322988134949988510e-06
1.365622723361872431e+03 3.822614986884489151e-06
1.386865743503057047e+03 5.623298504209825825e-06
1.408108763644241890e+03 2.821678734876912629e-06
1.423282349459373791e+03 1.881083214517568649e-06
1.447560086763584877e+03 7.854245441678894468e-06
1.462733672578716778e+03 4.180844946176880857e-06
1.477907258393848679e+03 2.648018584617588202e-06
1.490046127045954108e+03 2.819965355606735527e-06
1.502184995698059765e+03 6.049015876716858608e-07
1.514323864350165195e+03 3.971226671840628915e-07
1.523428015839244381e+03 6.597564055825309832e-07
1.538601601654376282e+03 2.892319039677995197e-06
1.550740470306481711e+03 6.911986526891113065e-06
1.562879338958587368e+03 4.913740304562639673e-06
1.575018207610692798e+03 3.163607622082166848e-06
1.587157076262798455e+03 4.111885049324406679e-06
1.599295944914903885e+03 1.118282848326067099e-05
1.611434813567009542e+03 7.673618503554198824e-06
1.623573682219114971e+03 3.088762457269690682e-06
1.647851419523326058e+03 6.966749024888366141e-06
1.669094439664510674e+03 4.652932888198501995e-06
1.684268025479642574e+03 8.854194472521453949e-06
1.696406894131748231e+03 1.448712334906738704e-05
1.708545762783853661e+03 2.054671117079062882e-05
1.720684631435959318e+03 5.810066757010119752e-05
1.741927651577143934e+03 2.020701214470825395e-03
1.757101237392275834e+03 2.626886206964792569e-04
1.781378974696486921e+03 1.380437103063502334e-02
