Frequency Power
4.668809297393940877e-02 1.494751682269130147e-02
2.178777672117172548e-01 5.167036967859740121e-03
3.423793484755556782e-01 4.701273049725519446e-03
4.201928367654546581e-01 5.285054952606333192e-03
5.913825110032324694e-01 9.079111342591601741e-03
6.691959992931315604e-01 2.193548389759965214e-03
7.314467899250507443e-01 1.072792966191371197e-03
7.936975805569699283e-01 2.728417957498484054e-03
9.648872547947477951e-01 9.052000423634474005e-03
1.042700743084646886e+00 9.297958314090106618e-03
1.213890417322424531e+00 2.517500304442830527e-03
1.338391998586263121e+00 4.149366595996307680e-03
1.416205486876161990e+00 2.308890242351509595e-03
1.478456277508081174e+00 1.285424413853773480e-04
1.587395161113939857e+00 1.447750852994894935e-02
1.665208649403838947e+00 2.941939912085174066e-03
1.727459440035758131e+00 1.486547543960887573e-03
1.805272928325657222e+00 3.472129212480812473e-03
1.851961021299596499e+00 2.898154225610791775e-03
1.976462602563434867e+00 6.730328756159589636e-03
2.054276090853333958e+00 6.334323367745627563e-03
2.241028462749091510e+00 2.559374445505345399e-03
2.365530044012929878e+00 3.487777377575015155e-03
2.443343532302828969e+00 1.784343117717575571e-03
2.583407811224647244e+00 8.985551263324854585e-03
2.676783997172526242e+00 8.790486083882326999e-04
2.723472090146465519e+00 2.578409382401695418e-04
2.785722880778384702e+00 1.454521711271895184e-03
2.847973671410303886e+00 1.268244042991022603e-03
2.972475252674142254e+00 2.886254770952909575e-03
3.050288740964041345e+00 2.254472577362664609e-03
3.112539531595960529e+00 1.042167453796801445e-03
3.237041112859798897e+00 1.218023300058211937e-03
3.361542694123637265e+00 2.644132113141708668e-03
3.439356182413536356e+00 1.621623855987465142e-03
3.594983158993334538e+00 5.262511125964357099e-03
3.672796647283233629e+00 1.040795345959171642e-03
3.735047437915152813e+00 5.180206371898446200e-04
3.797298228547071997e+00 3.843817824222824455e-04
3.875111716836971087e+00 7.511558072618014460e-04
3.999613298100809455e+00 6.410724066526820317e-04
4.061864088732728639e+00 5.753630991056503765e-05
4.124114879364647379e+00 8.572249289868588652e-05
4.170802972338587544e+00 8.803051330377465724e-05
4.248616460628486635e+00 4.338483085399473050e-04
4.341992646576365189e+00 4.688408772308076244e-04
4.466494227840203557e+00 7.651002391931146455e-04
4.590995809104041925e+00 1.896998972142913912e-03
4.668809297393941016e+00 4.236844968753460615e-04
4.731060088025859756e+00 1.927425812514763721e-04
4.793310878657779384e+00 3.151839326509666772e-04
4.871124366947678475e+00 1.520764314047973144e-04
4.933375157579597214e+00 8.610528433389073161e-05
4.980063250553536491e+00 1.733775739850202703e-04
5.057876738843435582e+00 7.898693492768363040e-05
5.104564831817375747e+00 1.101221473678858255e-04
5.166815622449294487e+00 2.320384229372765940e-04
5.229066413081214115e+00 2.420876234235061659e-04
5.306879901371113206e+00 6.369095522366310274e-05
5.446944180292931037e+00 1.898722312642338653e-04
5.602571156872729219e+00 1.635132618024080721e-04
5.680384645162628310e+00 9.722445766792089808e-05
5.758198133452527401e+00 3.021172020425656963e-05
5.820448924084446141e+00 1.935098300727021632e-04
5.898262412374345232e+00 1.635375094281193748e-04
6.007201295980204137e+00 3.039403574388768845e-04
6.085014784270103227e+00 5.338260367801865840e-04
6.162828272560002318e+00 4.299625690840275564e-04
6.271767156165860335e+00 1.389012091392913652e-04
6.334017946797779963e+00 3.542420548760430010e-05
6.411831435087679054e+00 2.654968825446536707e-04
6.474082225719597794e+00 1.499611214455269168e-04
6.536333016351517422e+00 4.732836738618635686e-04
6.660834597615355790e+00 1.147629741673805351e-04
6.738648085905254881e+00 9.204618609388092528e-05
6.816461574195153972e+00 1.755213364707548112e-04
6.878712364827072712e+00 1.190420000062069792e-04
7.003213946090911080e+00 3.763966743894249793e-04
7.081027434380810170e+00 3.103793542538256598e-04
7.158840922670709261e+00 2.358453194350005754e-04
7.267779806276568166e+00 8.106308819844964869e-05
7.392281387540406534e+00 1.306859118803572616e-04
7.454532178172325274e+00 1.395552205221487201e-04
7.547908364120204716e+00 2.887656695908667119e-04
7.625721852410103807e+00 1.315441229075919134e-04
7.719098038357982361e+00 1.037816792042548246e-04
7.781348828989901101e+00 3.604303349056159518e-05
7.890287712595760006e+00 3.362863797513026138e-05
8.014789293859598374e+00 3.008133736915154840e-04
8.092602782149498353e+00 2.783078165116186159e-04
8.170416270439396556e+00 1.545538762316726238e-04
8.279355154045255460e+00 1.198892795189184451e-04
8.357168642335153663e+00 1.156219713449769827e-04
8.434982130625053642e+00 3.939285217109911265e-05
8.497232921256973270e+00 9.721315113868775261e-05
8.621734502520810750e+00 9.788063774528616432e-05
8.715110688468689304e+00 4.677314924572297916e-05
8.777361479100608932e+00 1.407720929659897207e-05
8.855174967390507135e+00 6.174012619594466001e-05
8.932988455680407114e+00 1.492176145652118085e-04
8.995239246312326742e+00 1.161172657740750159e-04
9.088615432260205296e+00 1.381752291927210467e-04
9.181991618208083850e+00 2.362082061465276900e-05
9.275367804155962403e+00 3.298615517063872724e-05
9.353181292445862383e+00 9.731123966726085411e-05
9.430994780735760585e+00 1.293404222687625778e-04
9.508808269025658788e+00 2.687592460630360827e-04
9.602184454973539118e+00 1.648573743659711088e-04
9.695560640921417672e+00 5.943895630596678374e-05
9.773374129211315875e+00 4.915381895480012866e-05
9.851187617501215854e+00 1.381220968227662386e-04
9.929001105791114057e+00 2.751424776830979136e-04
1.005350268705495331e+01 1.214013134993101691e-04
1.011575347768687116e+01 3.948122814073796717e-05
