Frequency Power
2.178777672117172548e-01 1.618793773213961784e-01
3.423793484755556782e-01 1.762658797179304238e-01
4.201928367654546581e-01 1.998144615068760399e-01
5.913825110032324694e-01 3.130977444817913402e-01
6.691959992931315604e-01 8.460578351639685968e-02
7.314467899250507443e-01 3.610861955359468550e-02
7.936975805569699283e-01 9.246937830300362704e-02
9.648872547947477951e-01 2.625870466136924208e-01
1.042700743084646886e+00 2.825200922038783036e-01
1.213890417322424531e+00 8.315911288545570212e-02
1.338391998586263121e+00 1.462003196535258676e-01
1.416205486876161990e+00 7.791127423809815489e-02
1.478456277508081174e+00 4.414653835286777399e-03
1.587395161113939857e+00 4.722469635536415966e-01
1.665208649403838947e+00 9.617786015864522586e-02
1.727459440035758131e+00 4.797538655806291019e-02
1.805272928325657222e+00 1.146323656946850733e-01
1.851961021299596499e+00 9.081154549888001415e-02
1.976462602563434867e+00 2.218948343015836877e-01
2.054276090853333958e+00 2.196269943265169722e-01
2.241028462749091510e+00 8.336803536688619509e-02
2.365530044012929878e+00 1.179532761518758827e-01
2.443343532302828969e+00 5.951119140547580372e-02
2.583407811224647244e+00 2.969263614396845385e-01
2.676783997172526242e+00 2.896060427611129445e-02
2.723472090146465519e+00 8.752087589519905522e-03
2.785722880778384702e+00 4.651949604118116310e-02
2.847973671410303886e+00 4.130404140490025883e-02
2.972475252674142254e+00 1.001743587987391909e-01
3.050288740964041345e+00 7.886311009216370738e-02
3.112539531595960529e+00 3.467871950028890426e-02
3.237041112859798897e+00 4.028035258064021490e-02
3.361542694123637265e+00 8.736876700208795476e-02
3.439356182413536356e+00 5.383604292799071961e-02
3.594983158993334538e+00 1.746624422343388827e-01
3.672796647283233629e+00 3.451163092694676388e-02
3.735047437915152813e+00 1.678268320560451221e-02
3.797298228547071997e+00 1.306632714731138442e-02
3.875111716836971087e+00 2.595903673032327885e-02
3.999613298100809455e+00 2.134650542051265421e-02
4.061864088732728639e+00 1.975303111804186870e-03
4.124114879364647379e+00 2.869526483000504023e-03
4.170802972338587544e+00 2.956585233320364620e-03
4.248616460628486635e+00 1.423933628446511987e-02
4.341992646576365189e+00 1.473295754603388442e-02
4.466494227840203557e+00 2.554251219362515743e-02
4.590995809104041925e+00 6.203480239953787501e-02
4.668809297393941016e+00 1.338243164180962473e-02
4.731060088025859756e+00 6.153555186586949673e-03
4.793310878657779384e+00 1.049929719518155440e-02
4.871124366947678475e+00 5.012034494522159614e-03
4.933375157579597214e+00 2.845816712424494108e-03
4.980063250553536491e+00 5.661843656181429242e-03
5.057876738843435582e+00 2.535798342986441464e-03
5.104564831817375747e+00 3.528624511511974007e-03
5.166815622449294487e+00 7.403887241403702205e-03
5.229066413081214115e+00 8.332711765761764353e-03
5.306879901371113206e+00 2.146101961705042509e-03
5.446944180292931037e+00 6.169796321271266495e-03
5.602571156872729219e+00 5.496300444249506076e-03
5.680384645162628310e+00 3.052561495286306402e-03
5.758198133452527401e+00 9.834648002792750060e-04
5.820448924084446141e+00 6.591045531036666266e-03
5.898262412374345232e+00 5.326013592897352843e-03
6.007201295980204137e+00 9.677733464006530242e-03
6.085014784270103227e+00 1.697624474746916440e-02
6.162828272560002318e+00 1.433999599130518672e-02
6.271767156165860335e+00 4.595778703634944597e-03
6.349580644455759426e+00 1.170080772178658680e-03
6.411831435087679054e+00 8.732068304193960767e-03
6.474082225719597794e+00 4.908350774991978270e-03
6.536333016351517422e+00 1.556564088279615427e-02
6.660834597615355790e+00 3.926998779597972236e-03
6.738648085905254881e+00 3.151861813922443491e-03
6.816461574195153972e+00 5.866406949120709334e-03
6.878712364827072712e+00 3.914488732566028494e-03
7.003213946090911080e+00 1.252588335959449635e-02
7.081027434380810170e+00 9.971793989014151455e-03
7.158840922670709261e+00 7.908191638633576756e-03
7.267779806276568166e+00 2.606847861218699897e-03
7.392281387540406534e+00 4.479423925059661422e-03
7.470094875830305625e+00 4.543366832248888799e-03
7.547908364120204716e+00 9.192796198280492326e-03
7.625721852410103807e+00 4.367292310417057559e-03
7.719098038357982361e+00 3.495824122119938534e-03
7.781348828989901101e+00 1.184555876970442775e-03
7.890287712595760006e+00 1.153521957150387611e-03
8.014789293859598374e+00 1.009930503706501191e-02
8.092602782149498353e+00 9.390444399433201320e-03
8.170416270439396556e+00 5.082475818148828560e-03
8.279355154045255460e+00 3.908685155807215504e-03
8.357168642335153663e+00 3.842773812748240519e-03
8.434982130625053642e+00 1.291575331390682358e-03
8.497232921256973270e+00 3.060567042523033420e-03
8.621734502520810750e+00 3.267611390857018752e-03
8.715110688468689304e+00 1.599870777528487322e-03
8.777361479100608932e+00 4.698006747849673044e-04
8.855174967390507135e+00 2.144684656245347126e-03
8.932988455680407114e+00 4.960597491559678128e-03
8.995239246312326742e+00 3.902489105901963285e-03
9.088615432260205296e+00 4.744721707798904044e-03
9.181991618208083850e+00 7.512179868075884301e-04
9.275367804155962403e+00 1.085663481180205005e-03
9.353181292445862383e+00 3.237030261501828120e-03
9.430994780735760585e+00 4.237043343747804759e-03
9.508808269025658788e+00 8.974995463579582208e-03
9.602184454973539118e+00 5.440178701832858697e-03
9.695560640921417672e+00 1.908204453287011375e-03
9.773374129211315875e+00 1.583259718451492147e-03
9.851187617501215854e+00 4.660441216788459122e-03
9.929001105791114057e+00 8.800815061977723328e-03
1.005350268705495331e+01 4.132801195277875650e-03
1.011575347768687116e+01 1.362214970915358141e-03
1.020912966363475149e+01 3.135281967337676719e-03
1.031806854724060862e+01 2.964901711699475650e-03
1.042700743084646753e+01 2.727720276508693430e-03
1.050482091913636751e+01 7.545154123638591649e-03
1.058263440742626571e+01 8.227836494967817257e-03
1.067601059337414426e+01 3.095925719880965408e-03
1.075382408166404424e+01 3.550784973695971045e-03
1.083163756995394245e+01 2.980318699553989852e-03
1.094057645355980135e+01 6.759337110059407579e-03
1.104951533716566026e+01 9.347351723100714993e-03
1.112732882545555846e+01 4.888898228114304384e-03
1.120514231374545844e+01 6.451876138099942558e-03
1.131408119735131734e+01 1.126542874659274864e-02
1.157864705753697265e+01 1.003747642371060830e-02
1.168758594114283156e+01 6.390378652471002084e-03
1.174983673177475119e+01 4.179410366456376251e-03
1.184321291772262974e+01 2.504780581124585806e-03
1.196771449898646900e+01 1.446536072830116506e-03
1.204552798727636720e+01 6.366051325733593919e-03
1.212334147556626718e+01 6.073886785381172985e-03
1.221671766151414573e+01 3.230228913682858891e-03
1.231009384746202429e+01 1.246172482739505392e-02
1.241903273106788319e+01 4.416072038903036227e-03
1.257465970764768137e+01 7.422844151048124152e-03
1.266803589359555993e+01 9.963651491207904665e-03
1.276141207954343848e+01 4.221216817006803214e-03
1.285478826549131703e+01 7.010642815871220498e-03
1.293260175378121701e+01 6.383034454463388900e-03
1.305710333504505449e+01 2.211235710197666932e-03
1.313491682333495447e+01 5.615293322695084563e-03
1.336835728820465086e+01 1.170971389454806069e-02
1.343060807883657048e+01 1.124974323147831176e-02
1.352398426478444904e+01 4.015035618728864282e-03
1.367961124136424722e+01 6.693842982835659407e-03
1.375742472965414542e+01 8.177478812819084135e-04
1.386636361326000433e+01 9.699841206827944373e-03
1.392861440389192396e+01 1.231978548959382011e-02
1.405311598515576144e+01 9.982684695775793666e-04
1.413092947344566142e+01 2.856335643491659040e-03
1.423986835705152032e+01 1.523425279389223417e-04
1.430211914768343817e+01 3.944240467347723787e-03
1.436436993831535780e+01 7.283355645204993636e-03
1.442662072894727743e+01 8.913585449764813845e-03
1.451999691489515598e+01 3.204362297196348356e-03
1.461337310084303454e+01 1.063715706558812776e-03
1.467562389147495416e+01 4.398361974515689436e-03
1.478456277508081307e+01 1.794690692242890604e-04
1.486237626337071127e+01 8.879612239841403951e-03
1.494018975166061125e+01 1.288168350516355823e-02
1.500244054229253088e+01 4.551514300457915052e-03
1.504912863526647016e+01 3.938593346346666406e-03
1.514250482121434871e+01 7.362162078157399175e-04
1.518919291418828799e+01 3.531423599620434907e-04
1.529813179779414689e+01 5.634518212051112598e-04
1.537594528608404509e+01 1.241730762908341019e-03
1.542263337905798437e+01 2.049920186836604562e-03
1.550044686734788435e+01 1.124904769409912873e-03
1.560938575095374148e+01 1.471915994696042619e-03
1.567163654158566111e+01 1.348151845522396579e-03
1.578057542519152001e+01 6.991089714340877276e-04
1.585838891348141999e+01 5.489966520130621502e-03
1.593620240177131819e+01 6.788105367798958831e-03
1.602957858771919675e+01 4.603986398276934885e-03
1.613851747132505565e+01 4.235346513066880398e-04
1.623189365727293421e+01 1.313638523317170416e-03
1.637195793619475381e+01 1.835255575598933797e-03
1.648089681980061272e+01 2.736164711471397119e-03
1.654314761043253057e+01 4.978802355039134864e-04
1.660539840106444842e+01 1.066398017400564148e-03
1.671433728467030733e+01 9.587485373921121904e-04
1.679215077296020908e+01 8.820085995762528934e-04
1.685440156359212693e+01 1.969424253049289423e-03
1.693221505188202514e+01 2.542368346169446552e-03
1.702559123782990369e+01 3.215136924405809227e-03
1.715009281909374295e+01 1.567954995584371113e-03
1.722790630738364115e+01 5.354497808610618297e-03
1.738353328396344111e+01 3.449557423981145995e-03
1.747690946991131966e+01 7.055879493017385741e-03
1.753916026054323751e+01 1.461040756802782373e-03
1.761697374883313572e+01 1.293629768481558686e-03
1.771034993478101427e+01 2.988926092407801285e-03
1.778816342307091602e+01 1.455893822520028637e-03
1.785041421370283388e+01 1.049656025101074804e-03
1.797491579496667313e+01 4.999126349928262152e-03
1.809941737623051239e+01 2.351714445669832447e-04
1.816166816686243024e+01 3.087161832828613089e-03
1.823948165515232844e+01 1.095167267668869897e-02
1.831729514344222665e+01 4.709721423262120169e-04
1.839510863173212840e+01 2.480712800721349837e-03
1.847292212002202660e+01 8.476568426561605779e-03
1.853517291065394446e+01 1.449779096230258135e-03
1.861298639894384266e+01 1.141949847677595177e-03
1.872192528254970156e+01 3.211952103621667793e-03
1.884642686381354082e+01 9.114385897739996946e-04
1.897092844507738008e+01 5.607671937959533663e-03
1.909543002634121933e+01 6.282616391754376967e-04
1.915768081697313718e+01 3.504676571439495087e-03
1.923549430526303539e+01 1.124856057779605525e-02
1.932887049121091394e+01 1.573641991672706381e-03
1.939112128184283534e+01 2.765141918629114223e-03
1.948449746779071390e+01 6.871308565577884456e-03
1.960899904905455315e+01 1.339178273305123871e-03
1.976462602563434956e+01 3.925803967321275442e-03
1.985800221158222811e+01 2.455170514149307773e-03
1.998250379284606737e+01 5.166794121144395457e-03
2.009144267645192627e+01 5.714745568549720565e-04
2.015369346708384413e+01 2.350507506218146771e-03
2.023150695537374233e+01 5.706701078221521929e-03
2.034044583897960123e+01 2.640568502428751203e-03
2.040269662961152264e+01 2.932060598420221584e-03
2.048051011790142084e+01 3.122381687621102013e-03
2.060501169916526010e+01 8.698917893565209260e-04
2.068282518745515830e+01 6.903414947035418263e-04
2.076063867574505650e+01 2.423819079450457298e-03
2.085401486169293506e+01 3.523791766086224048e-03
2.097851644295677431e+01 3.346416768615432646e-03
2.108745532656263322e+01 8.038999111508058010e-04
2.114970611719455107e+01 2.000991223752053919e-03
2.122751960548445282e+01 1.482253823645880882e-03
2.133645848909030818e+01 3.305012030235111690e-03
2.139870927972222958e+01 2.279467107127281737e-03
2.152321086098606884e+01 2.593860324156363126e-03
2.160102434927596704e+01 2.648109327503157025e-03
2.169440053522384559e+01 7.472309511790162879e-04
2.177221402351374380e+01 9.537419217281714644e-04
2.185002751180364200e+01 2.236737557992483742e-03
2.194340369775152055e+01 2.330707579348613358e-03
2.209903067433132051e+01 5.806047229644380712e-04
2.216128146496323836e+01 1.272356717059936262e-03
2.228578304622707762e+01 9.950384126556925581e-04
2.234803383685899547e+01 1.205184005405814237e-03
2.245697272046485438e+01 4.359823443362901272e-04
2.251922351109677578e+01 2.969268463305578531e-03
2.259703699938667398e+01 3.798458607723199237e-03
2.270597588299253289e+01 6.559406272958448643e-04
2.284604016191434894e+01 1.235690836820640352e-03
2.297054174317818820e+01 1.765401008622778699e-03
2.309504332444202745e+01 1.088692874503218583e-03
2.315729411507394531e+01 1.625982964511716580e-03
2.325067030102182386e+01 2.128874231750323576e-03
2.334404648696970597e+01 1.288091680991804286e-04
2.343742267291758452e+01 1.413932635326372363e-03
2.351523616120748272e+01 3.094854264133548548e-03
2.360861234715536128e+01 3.407884971594388624e-03
2.374867662607718088e+01 7.474016114049837926e-04
2.382649011436707909e+01 1.175683778808842787e-03
2.391986630031495764e+01 3.934547431659997721e-04
2.399767978860485584e+01 3.991578235828549363e-03
2.407549327689475405e+01 2.009124567699845619e-03
2.413774406752667545e+01 1.371161004594228941e-03
2.424668295113253436e+01 3.762560135632588357e-03
2.432449643942243256e+01 3.406082205471231555e-04
2.443343532302829146e+01 3.711833033509150635e-03
2.451124881131818967e+01 3.162470613908357868e-03
2.458906229960808787e+01 1.372489640232892700e-03
2.469800118321394677e+01 3.301814933279493755e-04
2.480694006681980568e+01 2.690823307537418448e-03
2.493144164808364494e+01 1.377751589866621235e-03
2.500925513637354314e+01 5.835024524300921542e-03
2.524269560124324130e+01 1.981249762098254760e-03
2.532050908953313950e+01 7.880683874188106324e-04
2.542944797313899841e+01 3.160233990814368191e-03
2.550726146142889661e+01 1.968191620192784059e-03
2.556951225206081446e+01 1.079681679445693805e-03
2.563176304269273587e+01 2.665976672674319372e-04
2.570957653098263407e+01 1.600777515554540308e-03
