Frequency Power
9.337618594787881754e-02 2.294080244175923655e-01
2.490031625276768468e-01 9.456491351665904932e-02
3.268166508175758822e-01 4.968423892140920450e-02
3.890674414494950661e-01 4.827580385356527309e-02
4.513182320814143056e-01 1.476389209543817888e-02
5.135690227133334895e-01 6.453587732529433851e-02
6.536333016351517644e-01 5.095785915238990049e-02
7.470094875830305403e-01 5.516698580677036057e-02
9.026364641628286112e-01 1.498572841657562216e-01
9.960126501107073871e-01 9.263888640197485147e-01
1.089388836058586163e+00 1.249623840862864182e-01
1.260578510296364030e+00 4.733849047283464340e-02
1.369517393902222713e+00 4.651802923067130391e-02
1.447330882192121582e+00 1.024466349874679667e-02
1.509581672824040988e+00 4.458681222439232761e-02
1.571832463455960172e+00 6.905737307412406628e-03
1.634083254087879356e+00 3.979397078503977420e-02
1.758584835351717723e+00 4.711604934908120157e-02
1.914211811931515683e+00 5.500754216110073647e-02
2.007587997879394681e+00 7.501361552641661046e-01
2.100964183827273235e+00 8.424403935497314089e-02
2.272153858065051324e+00 3.123244427387089975e-02
2.334404648696970508e+00 2.596424332825790146e-02
2.458906229960808876e+00 7.558121743892629030e-03
2.521157020592728060e+00 1.701059754107077382e-02
2.645658601856566428e+00 1.181768245639867702e-02
2.754597485462425333e+00 2.216399908535515717e-02
2.879099066726263700e+00 7.343759847302215420e-03
2.925787159700202977e+00 2.586296458690811803e-02
3.019163345648081975e+00 2.462806132377304835e-01
3.096976833937980622e+00 1.312427195795167791e-02
3.159227624569899806e+00 7.076956177188340955e-03
3.205915717543839527e+00 1.855976421170867129e-03
3.268166508175758711e+00 1.172488391274206961e-02
3.330417298807677895e+00 1.822818586059210414e-03
3.392668089439597079e+00 1.429613499495181565e-02
3.454918880071516263e+00 8.933654162019574047e-03
3.517169670703435447e+00 1.527853330327213176e-02
3.579420461335354631e+00 1.235158314258017268e-02
3.657233949625253722e+00 1.160003402824154144e-02
3.719484740257172906e+00 8.241143827658869644e-03
3.781735530889092090e+00 3.998805896273441123e-03
3.828423623863031366e+00 3.898359235037848237e-03
3.906237112152930457e+00 1.953522054142964488e-03
3.968487902784849641e+00 1.784243085446682656e-02
4.046301391074749176e+00 2.174628251756473979e-02
4.108552181706667916e+00 6.927643839393086110e-03
4.186365669996567007e+00 5.553815034545870211e-04
4.233053762970506284e+00 2.445883077875501011e-03
4.310867251260405375e+00 7.852028406477180519e-03
4.373118041892325003e+00 5.587948341400699945e-03
4.435368832524243743e+00 3.961349767392329663e-03
4.513182320814142834e+00 5.243510407058109279e-03
4.575433111446062462e+00 1.124902041805520697e-02
4.637683902077981202e+00 4.183598951039487791e-03
4.699934692709900830e+00 5.822760617407648186e-03
4.777748180999799921e+00 4.093590416767741227e-03
4.839998971631718661e+00 2.837669193711271978e-03
4.902249762263638289e+00 9.789514090097196225e-03
5.011188645869496305e+00 2.916156465039835416e-02
5.104564831817375747e+00 1.089836510280923175e-02
5.229066413081214115e+00 1.240290304400431523e-03
5.306879901371113206e+00 4.521721791180284729e-03
5.415818784976971223e+00 2.412197734264357254e-03
5.555883063898789942e+00 4.502374053484138085e-03
5.618133854530708682e+00 2.948269039462770615e-03
5.695947342820607773e+00 2.525127224234431644e-03
5.773760831110506864e+00 2.388140475058888896e-03
6.022763993638183599e+00 3.808634786621446083e-02
6.116140179586062153e+00 1.162069496206949784e-02
6.193953667875961244e+00 2.516504349852483492e-03
6.365143342113739777e+00 5.325346306806634684e-03
6.474082225719597794e+00 1.603039373390253508e-03
