Frequency Power
7.024390243902439712e-01 4.622369041422259017e-01
2.006968641114982965e+00 9.165762585150142305e-01
3.311498257839721848e+00 2.057976035813381399e-01
4.415331010452962168e+00 1.457803015906247446e-01
5.519163763066202932e+00 3.182644126993673661e-02
7.425783972125436172e+00 5.509780278387107350e-02
8.328919860627179261e+00 1.005287907363915934e-01
9.633449477351916812e+00 7.596680272982079402e-03
1.053658536585366079e+01 1.288764786597455282e-02
1.174076655052265039e+01 2.398044632605799559e-02
1.384808362369338219e+01 3.459216109916103329e-03
1.535331010452961920e+01 3.160788586163869925e-03
1.635679442508710935e+01 3.826815905838931112e-03
1.856445993031359265e+01 6.534658833082069088e-03
2.147456445993031693e+01 1.848777404388885458e-03
2.358188153310104695e+01 5.122740149858315620e-03
2.548850174216028108e+01 1.227542981823486964e-03
2.729477351916376549e+01 3.456595787375273078e-04
2.849895470383275509e+01 7.367161739923472211e-04
2.950243902439024879e+01 4.668713779819502600e-04
3.050592334494773894e+01 2.182527133814739803e-04
3.160975609756097882e+01 9.012351207419422826e-04
3.341602787456446322e+01 1.965369392805675804e-03
3.552334494773519680e+01 1.876087306948905770e-03
3.853379790940766725e+01 7.645682306886662782e-04
4.054076655052265465e+01 1.050155786099692817e-03
4.244738675958188878e+01 9.363848849455166717e-05
4.345087108013937893e+01 3.945545695026075926e-04
4.535749128919861306e+01 3.693664520411405090e-04
4.646132404181185649e+01 3.647129950799337631e-04
4.746480836236934664e+01 2.180598447149134894e-04
4.866898954703833624e+01 7.680486389535130538e-04
5.037491289198607092e+01 8.970909679726189615e-04
5.238188153310105122e+01 6.064821460007477176e-04
5.358606271777004082e+01 1.354088100603792911e-04
5.458954703832753097e+01 3.854914330759618779e-04
5.659651567944251838e+01 1.156942471837867927e-04
5.729895470383276290e+01 1.054848860030223410e-04
5.850313588850175250e+01 3.751542159498858419e-04
5.950662020905924265e+01 1.984824257670579639e-05
6.051010452961673280e+01 2.689381998690335202e-04
6.231637630662022076e+01 1.538569894426012143e-04
6.362090592334495653e+01 5.761860826397499852e-04
6.552752613240419066e+01 8.252079553910480689e-04
6.743414634146341768e+01 3.138956750849847830e-04
6.863832752613241439e+01 1.707744267478159602e-05
6.944111498257841220e+01 8.632495031550952130e-05
7.054494773519164141e+01 1.466321375487290542e-04
7.144808362369339250e+01 2.026184463741109634e-04
7.255191637630663593e+01 2.585840418783110162e-05
7.355540069686412608e+01 1.571472237997171802e-04
7.546202090592335310e+01 5.892289685962911897e-04
7.756933797909408668e+01 2.288608501463976707e-04
7.867317073170733011e+01 5.569506034147193944e-05
8.057979094076655713e+01 3.928483501341903080e-04
8.238606271777004508e+01 2.191491185600589315e-04
8.348989547038328851e+01 1.738398612412747624e-04
8.449337979094077866e+01 4.206918508965348330e-05
8.549686411149826881e+01 5.378800107553473575e-05
8.640000000000000568e+01 2.469123301144432513e-05
8.740348432055751005e+01 6.448281657543691739e-05
8.850731707317073926e+01 1.195173099561405619e-04
9.051428571428573377e+01 1.368525878331645473e-04
9.232055749128920752e+01 4.025924560712358007e-04
9.452822299651569438e+01 2.819197407586373680e-04
9.553170731707318453e+01 7.505824672211123215e-05
9.733797909407667248e+01 3.092175560511664059e-04
9.944529616724740606e+01 9.064886311149959286e-05
1.005491289198606353e+02 2.316300727482893565e-04
1.015526132404181254e+02 2.451309585133522458e-05
1.025560975609756298e+02 1.483023039579264325e-04
1.034592334494773667e+02 2.007668830862155778e-05
1.044627177700348568e+02 5.924176375619136535e-05
1.054662020905923470e+02 2.697364182485191726e-04
1.075735191637630805e+02 2.711601432962356078e-04
1.094801393728223218e+02 3.070333532524854359e-04
1.114871080139373021e+02 1.934584118928205001e-04
1.126912891986062846e+02 1.351057283804561033e-04
1.138954703832752813e+02 8.673534966382612113e-05
1.156013937282230160e+02 3.811626313765006225e-05
1.174076655052265039e+02 1.571171522930505868e-04
1.186118466898954864e+02 7.640297683211785021e-06
1.195149825783972233e+02 2.388527194262213713e-05
1.213212543554007112e+02 2.314656296098050272e-04
1.233282229965156915e+02 3.523795892436405838e-04
1.246327526132404415e+02 4.641519716839133663e-05
1.255358885017421784e+02 1.021876548562819558e-04
1.274425087108014054e+02 7.041289652319524352e-05
1.284459930313589098e+02 1.244517762305550983e-04
1.295498257839721532e+02 5.685363057094108358e-05
1.305533101045296291e+02 1.074708452610493312e-04
1.324599303135888704e+02 1.609967189206007866e-04
1.345672473867595897e+02 2.734345742013506633e-04
1.354703832752613550e+02 2.013720714456910339e-05
1.367749128919860766e+02 2.616809748286404191e-04
1.401867595818815460e+02 1.892319744447552106e-04
1.415916376306620350e+02 2.550483617065827914e-05
1.424947735191637719e+02 2.673592835046718593e-05
1.435986062717770153e+02 7.085228627334769745e-05
1.444013937282230131e+02 7.110267912633905219e-05
1.455052264808362565e+02 2.681299505736888618e-05
1.464083623693379934e+02 2.561320696319851212e-05
1.478132404181184825e+02 1.892351016848724363e-04
1.512250871080139518e+02 2.619646179637919554e-04
1.525296167247387018e+02 2.009760063868958695e-05
1.534327526132404387e+02 2.727747594300281822e-04
1.555400696864111580e+02 1.602812881351442628e-04
1.574466898954703993e+02 1.084845618274459352e-04
1.584501742160279036e+02 5.671454387253365830e-05
1.595540069686411471e+02 1.258526852518061724e-04
1.605574912891986230e+02 6.993075608854305532e-05
1.624641114982578642e+02 1.029482594142253348e-04
1.633672473867596011e+02 4.605276016222529964e-05
1.646717770034843511e+02 3.569653621735893452e-04
1.666787456445993314e+02 2.300521889512269376e-04
1.684850174216028051e+02 2.563470894450919959e-05
1.693881533101045420e+02 7.984369048252667924e-06
1.705923344947735529e+02 1.569198667139776800e-04
1.723986062717770267e+02 3.749241310743486308e-05
1.741045296167247614e+02 8.702422220708278390e-05
1.753087108013937438e+02 1.345482584561695928e-04
1.765128919860627548e+02 1.934192263521697407e-04
1.785198606271777351e+02 3.078217654547827893e-04
1.804264808362369479e+02 2.693408982763724133e-04
1.825337979094076957e+02 2.717148424537607718e-04
1.835372822299651716e+02 5.918263054972012750e-05
1.845407665505226760e+02 2.018251581457679923e-05
1.854439024390244128e+02 1.472945833618845583e-04
1.864473867595819172e+02 2.468660685095544317e-05
1.874508710801393931e+02 2.317665235272252909e-04
1.885547038327526366e+02 9.335853920719840507e-05
1.906620209059233844e+02 3.075222985684424449e-04
1.924682926829268581e+02 7.002861713629157431e-05
1.934717770034843340e+02 2.877324179449818075e-04
1.956794425087108209e+02 3.914079131025482452e-04
1.974857142857143231e+02 1.353126920484412936e-04
1.983888501742160599e+02 5.747564287477146427e-05
1.994926829268293034e+02 1.203657666113996900e-04
2.005965156794425468e+02 6.211674262172344634e-05
