Frequency Power
1.224871269904506954e-01 1.007062435533226802e-01
2.078830817232296957e-01 3.271300899155814984e-02
2.924164510546675144e-01 2.194994872461075025e-02
3.769498203861053054e-01 1.165305117858921567e-02
4.649335313229078781e-01 1.242151158445971987e-02
5.382532904369100590e-01 7.942365937329191536e-03
6.253744159723715335e-01 1.017194960008087345e-02
7.099077853038092689e-01 9.330917258566029035e-03
7.944411546352471154e-01 1.603419703509191205e-02
8.798371093680260602e-01 2.982243706740952960e-02
9.980113093517707368e-01 5.574806429273903019e-01
1.117048094736856623e+00 1.598747122347883576e-02
1.203306634870976888e+00 4.165880086420568895e-03
1.286114833399732316e+00 1.859892658801997473e-03
1.374098544336534777e+00 6.456516776201125978e-04
1.450868645055901851e+00 5.228549477687747084e-04
1.601821090290612259e+00 1.910993874581825842e-04
1.718270119471674517e+00 9.636153587465670894e-05
1.787276951578970596e+00 1.820573535717111703e-04
1.879573589522479216e+00 2.017534539328594886e-03
2.004648472716953567e+00 5.327583619251213126e-02
2.121960087299357145e+00 5.818852806684361029e-03
2.208218627433477188e+00 1.249947131745533704e-03
2.293614582166256355e+00 1.871714710976176820e-03
2.378147951497694201e+00 4.230049305454955215e-04
2.461818735427790727e+00 1.162622843583547292e-03
2.546352104759228574e+00 2.610326259795583536e-04
2.630885474090666420e+00 9.329028025999462409e-04
2.713693672619421626e+00 2.669841683317599932e-04
2.797364456549518152e+00 1.023899788327389034e-03
2.881897825880955999e+00 6.612807348112132713e-04
2.993171342653971223e+00 1.227189654649798491e-02
3.099269347018938969e+00 1.888847449160197943e-04
3.222619059410730902e+00 1.818923675004850259e-04
3.405487164495065500e+00 1.614817376704308642e-04
3.571103561552576355e+00 1.561954613985701800e-04
3.716880494379239508e+00 2.125901543044587461e-04
3.791062838894582843e+00 3.375554647885901731e-04
3.879909135232726847e+00 1.315440387032971612e-03
3.999808506019153942e+00 3.085245634484532276e-02
4.118845291404239717e+00 2.611065783942062395e-03
4.208554173143724597e+00 4.086559652030515000e-04
4.290499786271139371e+00 7.649959220857145085e-04
4.381071253411965571e+00 6.984511689145207693e-05
4.461291695736696816e+00 4.406446954147247926e-04
4.547550235870817303e+00 8.781744575427780165e-06
4.633808776004937791e+00 2.858722958997788580e-04
4.852905467945602958e+00 1.774273973289266712e-04
5.011621181792383695e+00 1.676702526724197862e-03
5.128070210973445953e+00 5.979473956301785062e-04
