Frequency Power
6.996631977048450857e-01 9.363726259372824601e-03
1.166105329508075217e+00 7.102788663289225264e-03
1.943508882513458547e+00 1.091176942299944361e-03
2.254470303715611745e+00 9.018666419853342249e-04
2.643172080218303410e+00 4.354116957686403160e-04
3.031873856720995519e+00 1.309775043970617188e-04
3.420575633223687184e+00 8.516871883670010669e-05
3.653796699125301917e+00 7.810701835777320370e-05
3.964758120327455337e+00 4.522254764065226310e-05
4.353459896830147002e+00 7.620037953401018584e-05
4.664421318032300867e+00 3.435707594809082362e-05
5.208603805136069020e+00 4.225817652797009901e-05
5.519565226338221997e+00 5.426585885830295447e-05
5.908267002840913662e+00 1.081483903919001748e-05
6.374709134644144015e+00 3.082179619089011577e-05
6.763410911146835680e+00 1.137847600674964870e-05
7.152112687649527345e+00 4.369079415048175458e-05
7.540814464152219010e+00 1.353914555414301174e-05
8.007256595955448475e+00 1.949910538418999907e-05
8.395958372458141028e+00 3.414734441920080470e-05
8.784660148960831805e+00 5.432630940209513054e-06
9.251102280764062158e+00 3.704379341650691022e-05
9.639804057266754711e+00 8.262925752705525443e-06
9.950765478468907688e+00 2.327407648123373132e-05
1.049494796557267584e+01 1.314971964825645170e-05
1.080590938677482882e+01 1.887107407740005655e-05
1.119461116327752137e+01 1.989273271715084399e-05
1.166105329508075172e+01 3.027463518682923102e-06
1.204975507158344250e+01 3.533161552222493639e-05
1.243845684808613505e+01 6.069035044933875321e-06
1.290489897988936541e+01 1.997632085080086679e-05
1.337134111169259398e+01 1.113763472045561780e-05
1.360456217759420916e+01 2.030216966034076881e-05
1.407100430939743951e+01 1.976564112731642601e-05
1.445970608590013207e+01 6.810853969899962847e-06
1.492614821770336064e+01 2.607835197250830522e-05
1.531484999420605320e+01 2.418441204555656124e-06
1.570355177070874575e+01 1.985772789709647570e-05
1.616999390251197610e+01 9.330299312150221606e-06
1.648095532371412730e+01 1.058295072715896757e-05
1.694739745551735766e+01 1.801827077971005493e-05
1.733609923202005021e+01 3.127612206546502634e-06
1.772480100852274276e+01 3.008499539114081484e-05
1.850220456152812432e+01 1.672445597325765385e-05
1.896864669333135467e+01 5.373481092102645050e-06
1.927960811453350942e+01 8.947094169686033778e-06
1.974605024633673978e+01 1.409921485981970454e-05
2.013475202283942878e+01 2.362323148963052245e-06
2.052345379934212133e+01 1.313417346385272961e-05
2.137859770764804423e+01 1.644890252189663976e-05
2.176729948415073679e+01 6.897818891685505745e-06
2.223374161595396714e+01 7.023733651353170783e-06
2.262244339245665614e+01 1.729668942670715509e-05
2.339984694546204125e+01 1.717053925078616182e-05
2.417725049846742280e+01 1.100365764142455257e-05
2.464369263027065315e+01 3.103736808703130241e-06
2.503239440677334571e+01 7.165114682092229095e-06
2.542109618327603826e+01 1.359842872940184983e-05
2.627624009158195761e+01 1.287176924847481405e-05
2.697590328928680492e+01 1.268674484633587340e-05
2.744234542109003527e+01 4.244552923695215416e-06
2.783104719759272783e+01 5.868615594392975479e-06
2.829748932939595463e+01 1.107840932919248734e-05
2.907489288240133973e+01 1.374041199085250251e-05
2.985229643540672129e+01 1.106367666023865162e-05
3.039647892251049299e+01 6.516192775000462605e-06
3.062969998841210639e+01 5.475268262913833540e-06
3.109614212021533675e+01 1.021028136497638933e-05
3.195128602852125965e+01 1.372898773991845970e-05
3.272868958152664476e+01 8.299336742469711931e-06
3.342835277923148851e+01 6.584150309116158342e-06
3.397253526633525667e+01 8.520197488072561463e-06
3.436123704283794922e+01 1.810283057191843757e-06
3.474993881934064177e+01 8.884464775936732928e-06
3.521638095114386857e+01 1.107181431334879182e-06
3.552734237234601977e+01 6.845311518760564420e-06
3.599378450414925368e+01 3.481079937861819995e-06
3.638248628065194623e+01 4.324830529153250887e-06
3.684892841245517303e+01 7.809001879607712092e-06
3.715988983365732423e+01 4.395041814328458746e-06
3.754859161016001678e+01 6.751855978098544527e-06
3.809277409726378494e+01 5.649213723231005121e-07
3.840373551846594324e+01 7.929543423431990748e-06
3.887017765026917004e+01 4.514946084378891021e-06
3.925887942677186260e+01 2.974026680392738297e-06
3.972532155857508940e+01 4.609137518739097644e-06
4.042498475627994026e+01 4.440131723207355405e-06
4.089142688808316706e+01 2.497452579365725055e-07
4.128012866458585961e+01 5.483264722375997306e-06
4.174657079638908641e+01 2.163974166520654680e-06
4.205753221759124472e+01 3.073163025502186021e-06
4.252397434939447152e+01 5.353889627635603634e-06
4.322363754709931527e+01 3.178301041023227750e-06
4.369007967890254918e+01 5.596318275255751021e-07
4.407878145540524173e+01 4.808468287691662167e-06
4.454522358720846853e+01 1.545935038799372029e-06
4.485618500841061973e+01 2.722987271776063134e-06
4.532262714021385364e+01 5.606576070142053824e-06
4.610003069321923874e+01 2.645096832293391710e-06
4.648873246972193130e+01 1.481673861200033060e-06
4.687743424622461674e+01 4.692148410897087930e-06
4.734387637802785065e+01 1.549557863929302389e-06
4.773257815453054320e+01 1.675483570993496165e-06
4.812127993103323575e+01 3.660277027494808820e-06
4.850998170753592831e+01 1.238340372095837949e-06
4.897642383933915511e+01 4.763100899503221593e-06
4.936512561584184766e+01 5.123742121776168872e-07
4.975382739234454021e+01 1.315099165739683120e-06
5.014252916884723277e+01 9.603617520008772159e-07
5.053123094534992532e+01 2.520170728987246693e-06
5.099767307715315212e+01 1.970922700053953269e-06
5.138637485365584467e+01 9.297941212265749968e-07
5.177507663015853723e+01 3.585710702743010840e-06
5.216377840666122978e+01 1.088102818239292380e-06
5.270796089376499793e+01 2.542624984215968851e-06
5.301892231496714913e+01 8.391181226668565747e-07
5.340762409146984169e+01 8.013197960001458808e-07
5.379632586797253424e+01 6.895893661753453484e-07
5.426276799977576104e+01 2.033416558628398511e-06
5.457372942097791224e+01 2.153056297637061472e-06
5.511791190808168750e+01 4.494541046289008959e-07
5.550661368458437295e+01 5.132292272544636782e-07
5.581757510578653125e+01 8.739544480441025198e-07
5.612853652698868245e+01 8.578089804374907525e-07
5.643949794819083365e+01 6.237908588322681487e-07
5.675045936939299196e+01 2.861605271978374840e-07
5.706142079059514316e+01 1.381052219514594113e-06
5.768334363299945267e+01 8.486007884037626214e-07
5.799430505420160387e+01 1.533702038483258988e-06
5.830526647540375507e+01 4.480214334834456638e-07
5.861622789660590627e+01 1.610751545068865883e-06
5.892718931780806457e+01 9.088103998802799578e-07
5.923815073901021577e+01 1.339637030623935398e-06
5.954911216021236697e+01 1.309474050535535535e-06
5.986007358141452528e+01 1.019162014135228574e-06
6.048199642381882768e+01 9.578001444644436829e-07
6.079295784502098599e+01 2.627013694810907332e-06
6.118165962152367143e+01 2.333983987105116421e-07
6.141488068742528839e+01 1.643885927776113241e-07
6.172584210862743959e+01 2.073537284678546095e-06
6.234776495103174909e+01 2.590757894652107032e-07
6.265872637223390029e+01 1.716100097851645256e-06
6.296968779343605860e+01 6.912169907682976927e-07
6.359161063584036100e+01 3.709191625531524187e-06
6.390257205704251930e+01 9.447689960425955066e-07
6.452449489944682171e+01 2.331441591306429864e-06
