Frequency Power
2.147170144014269311e-01 8.549714851785533362e-05
4.653562669536629448e-01 2.434614645032890691e-03
7.755937782561048710e-01 7.479849184299834294e-03
1.093995434592821558e+00 6.707519795687825852e-03
1.545472654988217398e+00 3.815545968159303643e-03
1.876936943379773792e+00 1.719302728683664650e-03
2.208401231771330409e+00 3.309331522742159663e-04
2.426383904186466989e+00 8.283520564300038582e-06
2.615792068981642071e+00 5.748312524183271112e-05
2.948889186380053484e+00 1.255881155381263729e-05
3.155442055747205821e+00 6.447004747982873130e-06
3.457515422015372764e+00 7.580514640556153627e-06
3.771835005834952348e+00 7.494948343241382943e-06
3.970223730167829590e+00 1.498209153294988718e-06
4.113096268267638855e+00 1.983333444462567563e-06
4.295973117035393862e+00 2.376306392203176856e-06
4.465787333748309607e+00 6.762418874996676887e-07
4.776841259554179153e+00 2.292011585333033264e-06
4.982577714417903536e+00 7.847215426834765863e-07
5.109121962449163057e+00 8.112525865217138755e-07
5.314042002809459930e+00 1.224587751421007592e-06
5.622646685105046949e+00 8.209942691276839923e-07
5.809605606389939503e+00 3.194596614729065588e-07
6.049631470397618394e+00 4.383814173152912232e-07
6.241488878703076004e+00 7.715201018522370234e-07
6.423549312967403502e+00 5.201144813724767223e-07
6.586832213652899171e+00 7.965809690697659989e-07
6.781955279972066819e+00 4.328274166652609494e-08
6.933808377609578244e+00 1.507934013413438399e-07
7.161588024065844493e+00 7.958572589861329496e-07
7.389367670522110743e+00 6.758050098343567965e-07
7.770633243622743436e+00 7.530617201833944787e-07
8.075972267904621305e+00 3.254595146691193292e-07
8.357635271587101400e+00 4.030722067961275151e-07
8.584598503539940140e+00 1.969945002425658947e-07
8.747881404225436697e+00 3.504500001599669017e-07
8.972395392667992908e+00 5.276102463697522649e-07
9.306308924569831831e+00 2.089048722053138141e-07
9.455712778697060727e+00 1.592670232693516300e-07
9.701453544228730408e+00 3.096353972929154715e-07
9.965971843339234582e+00 6.416508158190785539e-07
1.028600632868280584e+01 9.583220658773322630e-07
1.052031729116649217e+01 1.996458816867211143e-07
1.073503430556792004e+01 1.802014381463245321e-07
1.094485283294878109e+01 4.007134478159745815e-07
1.113671024125423870e+01 4.431479590889413734e-07
1.146409245712865754e+01 4.840232719705327559e-07
1.174493904630771013e+01 8.681102528743277603e-08
1.193026513858574766e+01 3.200328890252390792e-07
1.224050264988819059e+01 5.892043678442653409e-07
1.243562571620735824e+01 4.423191460822799652e-07
1.261523690696140321e+01 2.650222517794254637e-07
1.278260188016403731e+01 1.857528726091036899e-07
1.306997978537050820e+01 5.642491892881420365e-07
1.326020436466911079e+01 5.899977841563231837e-07
1.343491706840259248e+01 4.107344255335617073e-07
1.361697750266691997e+01 3.637356421971135869e-07
1.379087379189697238e+01 1.695547519729985341e-07
1.393129708648649867e+01 1.836166079743566630e-07
1.405457567650404904e+01 9.256807930544041910e-08
1.424071818328551409e+01 5.935954872396864572e-07
1.443339200609439921e+01 5.385930127678100364e-07
1.461953451287586425e+01 4.561918398373622244e-07
1.480486060515390179e+01 2.881488234113105318e-07
1.511019962943577788e+01 3.108442309488301489e-07
1.528899440568639712e+01 4.540136276604109311e-08
1.548983237352955555e+01 2.513312813552968133e-07
1.560168116049912079e+01 2.687121380313152865e-07
1.594947373895922738e+01 3.156248137741182391e-07
1.615521019382295265e+01 9.185380259070897808e-08
1.632665723954272252e+01 1.437846060500706191e-07
1.653729218142701285e+01 3.504115959069041886e-07
1.678629860497239434e+01 5.578867489208969570e-07
