Frequency Power
1.869589212848926651e-01 4.152501895643551360e-04
4.873994585462048668e-01 3.048228431675005252e-03
7.470192706361431512e-01 7.212186680199149380e-03
1.085014875055119399e+00 5.956747816056693658e-03
1.552003971015637251e+00 3.199506000481673693e-03
1.907144280006590531e+00 1.757418296022289755e-03
2.248405542439276594e+00 4.857364970522663294e-04
2.448427095779009299e+00 9.638003022522653252e-05
2.621506970505634637e+00 2.080031305071084098e-04
2.794586845232259975e+00 5.073241856202959451e-05
2.955420502407473560e+00 5.401690331608298472e-05
3.129316791637526407e+00 4.305867624023258691e-05
3.277087816757900285e+00 2.443893365523339286e-05
3.452616934994808151e+00 3.964050476297829542e-05
3.617532664687158839e+00 1.988535028919662578e-05
3.780815565372654508e+00 2.356802375840592648e-05
3.942465637051295602e+00 1.204055455483423986e-05
4.105748537736791270e+00 1.467209172970230091e-05
4.277195583456562034e+00 1.556090175436367166e-05
4.444560556659195250e+00 1.225709677494192804e-05
4.609476286351545937e+00 5.439276936239562029e-06
4.765411456506194021e+00 1.306693253201102588e-05
4.936858502225964784e+00 3.415587109322591329e-06
5.102590646421742981e+00 6.068243295991110514e-06
5.240564697500986746e+00 6.427405048601554504e-06
5.412011743220757509e+00 8.750408854828274808e-06
5.597337835498795044e+00 6.444586559028634945e-06
5.745108860619168922e+00 3.909642059963073085e-06
5.913290248325229648e+00 9.993824061993039264e-07
6.057795615431893488e+00 4.817965833966115100e-06
6.235773977179083438e+00 4.430442605305059167e-06
6.412119509919419258e+00 5.734576459648925026e-06
6.536214514440395362e+00 5.465627311232459186e-06
6.730521166256135501e+00 2.397784707012585900e-06
6.909315942506753849e+00 1.789661529533183828e-06
7.202408749237218188e+00 5.035129338988998836e-06
7.373855794956988952e+00 5.278446190683009454e-06
7.553466985711034809e+00 1.895925166032314888e-06
7.803289823759842925e+00 1.934755691341967934e-06
8.021272496174979949e+00 3.326681906455869386e-06
8.213946318983865069e+00 2.898165468424932437e-06
8.326611520456856042e+00 2.605434890697103677e-06
8.534797218830863841e+00 3.231572853785349253e-06
8.961782004123435286e+00 1.923203282022423407e-06
9.136494707856915198e+00 1.319735823949042686e-06
9.321004385631525224e+00 4.257777525871755955e-06
