Frequency Power
2.008379678431597981e-01 1.912015006725776081e-02
4.873994585462048668e-01 1.389173225283773239e-01
7.511013431532805873e-01 3.290685915498469671e-01
1.085831289558546908e+00 2.705661900374429774e-01
1.555269629029347289e+00 1.451135727874088843e-01
1.907960694510018040e+00 7.988556020667608726e-02
2.249221956942704104e+00 2.170272046511028882e-02
2.448427095779009299e+00 4.350154836234108174e-03
2.621506970505634637e+00 9.348226456021204583e-03
2.794586845232259975e+00 2.287538393584608466e-03
2.955420502407473560e+00 2.421811473495028618e-03
3.129316791637526407e+00 1.921172683497630743e-03
3.277087816757900285e+00 1.099867397043816910e-03
3.452616934994808151e+00 1.771817313852597523e-03
3.617532664687158839e+00 8.935620899044123457e-04
3.779999150869226998e+00 1.059510055578251038e-03
3.942465637051295602e+00 5.413222589024540600e-04
4.105748537736791270e+00 6.592837288811084469e-04
4.277195583456562034e+00 6.963473363350472078e-04
4.443744142155767740e+00 5.511912275030674121e-04
4.609476286351545937e+00 2.438674524697801642e-04
4.765411456506194021e+00 5.871315844110903352e-04
4.936858502225964784e+00 1.539559882711474521e-04
5.102590646421742981e+00 2.715680491008902638e-04
5.240564697500986746e+00 2.889289543027475380e-04
5.412011743220757509e+00 3.950022602977887320e-04
5.597337835498795044e+00 2.896319352624792168e-04
5.745108860619168922e+00 1.764363111088907408e-04
5.913290248325229648e+00 4.475862183262589207e-05
6.056979200928465978e+00 2.173038645707043518e-04
6.235773977179083438e+00 1.993774519389796874e-04
6.412119509919419258e+00 2.569634004952812251e-04
6.536214514440395362e+00 2.477041425831739041e-04
6.730521166256135501e+00 1.079667073048108878e-04
6.909315942506753849e+00 8.026020992751758325e-05
7.202408749237218188e+00 2.247098324336343589e-04
7.373855794956988952e+00 2.377058816801297858e-04
7.553466985711034809e+00 8.515011538562782000e-05
7.804106238263270434e+00 8.712759761781385898e-05
8.021272496174979949e+00 1.494476755629340248e-04
8.214762733487292579e+00 1.296426117114635092e-04
8.326611520456856042e+00 1.172798831351634955e-04
8.535613633334291350e+00 1.448791318524009252e-04
8.961782004123435286e+00 8.621332301293115020e-05
9.136494707856915198e+00 5.944079272684289544e-05
9.321004385631525224e+00 1.920175151417371573e-04
9.497349918371861932e+00 6.160633431883920656e-05
9.641038870975098263e+00 1.623879117884545009e-05
9.805954600667448062e+00 9.447031204287966257e-05
9.996179179966050654e+00 5.809302524746204029e-05
1.019783356231263838e+01 1.683646083579724536e-04
1.047541449347798093e+01 4.734430449999807791e-05
1.063379890714291243e+01 5.605816171578676896e-05
1.094240358943849856e+01 6.521104792983654171e-05
1.112038195118569028e+01 1.990909039488554587e-04
1.145347906858410170e+01 1.029847092476297583e-04
1.174412263180428262e+01 2.293226462886330681e-05
1.192699948057203940e+01 7.655456883530774087e-05
1.223968623538476308e+01 1.427191506915150389e-04
1.243889137422106828e+01 9.960357527783281846e-05
1.262748312451281585e+01 8.582632902178891413e-05
1.307161261437736322e+01 1.190824323737940178e-04
1.325612229215197502e+01 9.477327959661119901e-05
1.343899914091973002e+01 5.417773749366697921e-05
1.358268809352296635e+01 1.525222631836090827e-05
1.373454119116047600e+01 1.890622120042503030e-05
1.393048067198307116e+01 1.503832396528640683e-04
1.423663611076837654e+01 1.462130310446271462e-04
1.443502483510125423e+01 5.347932759454322222e-05
1.462688224340671184e+01 2.266009407592132187e-05
1.481710682270531443e+01 5.298477981970033639e-05
1.506611324625069415e+01 7.724962714913498395e-05
1.525960348356300678e+01 8.060903578665821003e-05
1.550371142008782321e+01 6.345335226243282317e-05
1.595437222597979243e+01 9.193922705941158491e-05
1.615276095031266834e+01 3.682327501217729995e-05
1.634543477312155346e+01 5.325249100074260481e-05
1.653892501043386787e+01 3.082837421486229410e-05
1.678058370344840000e+01 1.492724549821149887e-04
1.700754693540124052e+01 5.530853025637921030e-05
1.720593565973411643e+01 6.591620068267433285e-05
1.761659215495813768e+01 8.490159510749178788e-05
1.783457482737327737e+01 8.039619372321087445e-05
1.807460069138095449e+01 1.038906347722297845e-04
1.835299803704972632e+01 3.659242373032387067e-05
1.854730468886546291e+01 5.653953164836329510e-05
1.876855301929431263e+01 1.236687053132310061e-04
1.891714045891811224e+01 7.105124501133978378e-05
1.912450974278869253e+01 1.695789828397423665e-05
1.929840603201874671e+01 2.539575234527531562e-05
1.962823749140344631e+01 1.072971206292546451e-04
1.988785730349338365e+01 4.150832321549158526e-05
2.011482053544622417e+01 6.424845207571238076e-05
2.032708830633736952e+01 1.539658979011254074e-05
2.048220706198858920e+01 5.851342170557960243e-05
2.095246181596281687e+01 1.503377615700150121e-04
2.120799955553561844e+01 4.916782796896323934e-05
2.137863018675196258e+01 3.590489715939808969e-05
2.171499296216408226e+01 1.016675793635136673e-04
2.191664734451066820e+01 2.885688213881859213e-05
2.208319590320987658e+01 1.172845764569902496e-05
2.227097123899819664e+01 4.901797431073373802e-05
2.242527358014599059e+01 6.516466723538597635e-05
2.260243552738975126e+01 4.341998796688026113e-05
2.276898408608895608e+01 1.407669194292802119e-05
2.298533392949724075e+01 7.825580814868919252e-05
2.338619345068013189e+01 2.877473813864713829e-05
2.355519125288962101e+01 1.659065826379156429e-05
2.377154109629790213e+01 1.425729143410185511e-04
2.399442225573360332e+01 8.100950043560428855e-05
2.428098374643665025e+01 5.408830858051701573e-05
2.449815000434835710e+01 6.469066521341498388e-05
2.471368343325321248e+01 9.686960825513379815e-05
2.507290581476130242e+01 3.344646145267945108e-05
2.534150618638894414e+01 2.082641331305278254e-05
2.555867244430065455e+01 6.859677527797763128e-05
2.581502659837688185e+01 7.269148587712767466e-05
2.602484512575774289e+01 1.697648301066666490e-05
2.618322953942267262e+01 5.870955127395288838e-06
2.639794655382410227e+01 2.268472014941035864e-05
2.666573051094831470e+01 3.397984687771306539e-05
2.707393776266205521e+01 3.724801037320324561e-05
2.726497875646408531e+01 1.295947481774481703e-05
2.745112126324555035e+01 3.730037223836737324e-05
2.763563094102016038e+01 3.871842612781572975e-05
2.782014061879477040e+01 3.037793653810047792e-06
2.798342351948026518e+01 7.964506712082014320e-06
2.813854227513148487e+01 1.810842787863291894e-05
2.838591586967001135e+01 9.492563833159845237e-05
2.866349680083535389e+01 3.493121085996791548e-05
2.891903454040815546e+01 3.308490675419441138e-05
2.906353990751481930e+01 3.220293893465450111e-05
2.923417053873116345e+01 1.530107029172517692e-05
2.945460245465658389e+01 4.050308551718855384e-05
2.971912075376708628e+01 4.457599978662790940e-05
3.008160879328888626e+01 1.211499924006723392e-05
3.042613571373528103e+01 6.996087923957945969e-05
3.079107299676736531e+01 1.171693122630240175e-05
3.099925869514137133e+01 6.495696712884605055e-06
3.121724136755650747e+01 7.888751932241682178e-05
3.147441193613616406e+01 3.026490017900382735e-05
3.171362138564041544e+01 3.670602298307962935e-05
3.205488264807310372e+01 2.827710795333599194e-05
3.225735344492311896e+01 2.462202197988630744e-05
3.255126266615700814e+01 6.022092680150988909e-05
3.279128853016468526e+01 3.089698724369436411e-05
3.302315024913809083e+01 2.991869893529987889e-05
3.330889532533770847e+01 8.797939364729769345e-05
3.367464902287321848e+01 2.369431856840182893e-05
3.405591459597385295e+01 8.470253138507715187e-05
3.432206572409121037e+01 2.210488692263036753e-05
3.465761208499990431e+01 2.494660027000633715e-05
3.479966820859628740e+01 2.795468383106028640e-05
3.500785390697028987e+01 4.008372450092772551e-05
3.520134414428260783e+01 2.059935471930453486e-05
3.541769398769088895e+01 1.020939826627620200e-04
3.567486455627054198e+01 1.965887407537102248e-05
3.578752975774353473e+01 1.593195977058654709e-05
3.619247135144356520e+01 7.216895229673760505e-05
3.655414297646193944e+01 2.958571104776807451e-05
3.687825953432264470e+01 5.344322070049795998e-05
3.711746898382689608e+01 3.935967951945684403e-05
3.742117517910192248e+01 4.916416851963121149e-05
3.781876904227110003e+01 3.539215064436625349e-05
3.824738665657052650e+01 6.538069559091257480e-05
3.868825048842136738e+01 5.316701066901528030e-05
3.910298905616252796e+01 9.689473839475180709e-05
3.945731295065005639e+01 2.473387913894009474e-05
3.966794789253434317e+01 7.809430670729426458e-06
4.001737330000130299e+01 4.756458729282441920e-05
4.027372745407753030e+01 4.770792010028909307e-05
4.060764098597937277e+01 2.048662619292479715e-05
4.075051352407918159e+01 2.968806707006406255e-05
4.093828885986749810e+01 1.394784528559464121e-05
4.112116570863525311e+01 5.265069044563609518e-05
4.135139459860180722e+01 4.827419218863393665e-05
4.151631032829415346e+01 3.435016644023740768e-05
4.179307484495606673e+01 2.434723983445337935e-05
4.202003807690891080e+01 6.174944296248589977e-05
4.227475940197827953e+01 1.235723769707340799e-05
4.245273776372547303e+01 1.452226882860624421e-05
4.283563616583295897e+01 1.310353266474961829e-04
4.311158426799144650e+01 3.093887260576593207e-05
4.352305717771889704e+01 2.255378811603362175e-05
4.372634438907233800e+01 6.454066412870541468e-05
4.394187781797719339e+01 7.338479750314953851e-05
4.417129029344031466e+01 5.546915056899178430e-05
4.459909149323631539e+01 2.735188761269402086e-05
4.484973074578854835e+01 6.675888292978245499e-05
4.522364858835833701e+01 5.268136967012945587e-06
4.564736771563719486e+01 8.840763449585053611e-05
4.595433956892593130e+01 3.649648617498428820e-05
4.621722503902957868e+01 4.965557478878182226e-05
4.654705649841427828e+01 1.390595128974672797e-04
4.675116012427115209e+01 4.298713497197933140e-06
4.692097434098406694e+01 3.078491996306013289e-05
4.709813628822782761e+01 1.449674259710868945e-05
4.723121185228650631e+01 9.393685002857442100e-06
4.742062001708168140e+01 2.441102215058054095e-05
4.767044285513048862e+01 1.006837410880386040e-04
4.794149247026841465e+01 9.529859962555382820e-06
4.811049027247790377e+01 4.058131315301007916e-06
4.853502581426018736e+01 1.064648373635331837e-04
4.878974713932956320e+01 6.368999095609764922e-05
4.900446415373099285e+01 4.802135945193097502e-05
4.939062821385218882e+01 2.212738120122178625e-05
4.964779878243184186e+01 1.627597342672479133e-05
4.985435165179899286e+01 7.763708235718478126e-05
5.027480512106414778e+01 3.735499389005876320e-05
5.057034717130489554e+01 4.363371716505129699e-05
5.079894323226459107e+01 4.120471470432534488e-05
5.112795827714586494e+01 7.012656030219074651e-06
5.137206621367067783e+01 7.202914761568106957e-05
5.165536204636001116e+01 1.851571083668093100e-05
5.189620432487112112e+01 3.803241670749263353e-05
5.225869236439292109e+01 1.267152628947978727e-04
5.250769878793830259e+01 2.169833111878434644e-05
5.272568146035344228e+01 4.543685131649129042e-05
5.296489090985769366e+01 2.856087035147508905e-05
5.309225157239237802e+01 3.295524022879856301e-05
5.336166835852344548e+01 8.068320043430298447e-05
5.359516290650370252e+01 5.060827451298561972e-05
5.405725351544365509e+01 8.216503013151351916e-06
5.424584526573540444e+01 5.047857635057222814e-05
5.447035925417796420e+01 1.256325748770440321e-04
5.473079548077132728e+01 6.984061513606263380e-05
5.503531809054977941e+01 3.690306183633055968e-05
5.525248434846148626e+01 1.977709559235986452e-05
5.547944758041432323e+01 1.089921020795293922e-05
5.563783199407925650e+01 3.202938507935221589e-05
5.592520989928572561e+01 7.150614136995368298e-05
5.615788803276256402e+01 2.386429082956597643e-05
5.647955534711298498e+01 1.153264042463469002e-04
5.685102394617248933e+01 1.271917575331713226e-05
5.706492454607048614e+01 1.898756481016069416e-05
5.729678626504389172e+01 1.293205278461676694e-04
5.756538663667153344e+01 1.831280285354656696e-05
5.792052694566248761e+01 4.861979908109768098e-05
5.814993942112560887e+01 3.912732330611009418e-05
5.839404735765042176e+01 4.315552719986004388e-05
5.865938207126435344e+01 5.086401704555862190e-05
5.906350725046095818e+01 1.511033908799570671e-05
5.928802123890351794e+01 1.519487000283441323e-04
5.950763674032550909e+01 4.343950285866233206e-05
5.975256109135374771e+01 3.421757211361871431e-06
6.015505344154349388e+01 9.235784964892713935e-05
6.040977476661286971e+01 2.843726205847941116e-05
6.071593020539817331e+01 7.377995733037152394e-05
6.101228867014234680e+01 8.423477015439691479e-05
6.124333397461232664e+01 1.044573165999493206e-05
6.142784365238693312e+01 4.938039429566824383e-05
6.168338139195973469e+01 1.324933377617401027e-05
6.189728199185773860e+01 2.626246550179452434e-05
6.213812427036884145e+01 1.921773700224077607e-04
6.246877214425697389e+01 3.511607083111461511e-05
6.273655610138118277e+01 2.950161886401458208e-06
6.295290594478946389e+01 1.644013247372799811e-04
6.321497500038968553e+01 5.613220636988625810e-05
6.344602030485966537e+01 6.069491725431368749e-05
6.389178262373106776e+01 4.812388488217740612e-05
6.412037868469076329e+01 1.635501201566532677e-05
6.432856438306477287e+01 1.415987374023949732e-04
6.470248222563455442e+01 5.232488044571761006e-05
6.497026618275876331e+01 4.384487420614779533e-05
6.522825316584184918e+01 6.672225042848398276e-05
6.579484483122051586e+01 5.144427395900423583e-05
6.606017954483445465e+01 3.474732552842479087e-05
6.635817083858547960e+01 7.820544730854523947e-05
6.670106493002502646e+01 1.171097037209178486e-04
6.724724623281800007e+01 3.583807271610585339e-05
6.755911657312729801e+01 6.408813403299654815e-05
6.781628714170696526e+01 7.966788298222343830e-05
6.803998471564608508e+01 1.310508985609924997e-04
6.849146193604148891e+01 4.999799839228168569e-06
6.870617895044290435e+01 7.530740262963892808e-05
6.891681389232719823e+01 1.420995074947986765e-04
6.914540995328690087e+01 9.873257318775328592e-06
6.951932779585668243e+01 1.201232599011070666e-04
6.985324132775852490e+01 6.355267442475638867e-05
7.006387626964280457e+01 3.936229680437067251e-05
7.036676605041439814e+01 8.037373587441505758e-05
7.064353056707631140e+01 4.060435789218261830e-05
7.095050242036505495e+01 1.194980044567335120e-04
7.123216542404753682e+01 4.002851816125416900e-05
7.150239862468203000e+01 3.976284095737250824e-05
7.174242448868970712e+01 1.620439431091338727e-04
7.202816956488932476e+01 1.881693751034051244e-05
7.239310684792140194e+01 1.427150469118138346e-04
7.262986705391537612e+01 9.094699865475649840e-05
7.285029896984079301e+01 2.788035259681846624e-05
7.319809154830089426e+01 1.039120027217839296e-04
7.345689494588741297e+01 5.245546735828260647e-05
7.376060114116242517e+01 1.767809721715170605e-04
7.407410431047858879e+01 1.568946772854081965e-05
7.430351678594171005e+01 1.964917795372646270e-05
7.457701564458990617e+01 1.830882927344303437e-04
7.485051450323811650e+01 2.679724544743337177e-05
7.518442803513995898e+01 1.001965497282873875e-04
7.541873899762363465e+01 1.550176089133086335e-04
7.559835018837769383e+01 6.510396615114924057e-05
7.581470003178597494e+01 3.769875771171633854e-05
7.608738247593075243e+01 1.092807173858700116e-04
7.634373663000697263e+01 8.815950937416668727e-05
7.658131325050436544e+01 9.796941985698664438e-05
7.685807776716629292e+01 3.926093458305961019e-05
7.723444485324635878e+01 1.675228836705057670e-05
7.743936489360665121e+01 1.199405276853844903e-04
7.767041019807662394e+01 8.165329243075105433e-05
7.802146843455044234e+01 2.508430412169479289e-05
7.833742084737687605e+01 1.373079186324964657e-04
7.854479013124745279e+01 6.097035938035192136e-05
7.878318316624827844e+01 1.596968869117722657e-04
7.921343360955455637e+01 9.911049986623445549e-05
7.945754154607938347e+01 1.426409153161376116e-04
7.973022399022416096e+01 1.563274442201141666e-04
8.005025847556773044e+01 3.852302802095355569e-05
8.026007700294859148e+01 2.129124246316092773e-04
8.047561043185343976e+01 1.702572855070157002e-04
8.088626692707747168e+01 3.968528558903352502e-05
8.116629710175308787e+01 2.884192447821556362e-04
8.150674194968235042e+01 5.740407223618671943e-05
