Frequency Power
2.449243510282436698e-01 4.912934607083088018e-02
4.082072517137394496e-01 2.678327112045930311e-02
5.714901523992352850e-01 2.117478913461126599e-02
7.347730530847309538e-01 5.694904446671190251e-03
8.980559537702268447e-01 6.420559294619053274e-03
1.061338854455722513e+00 4.801065749585358387e-03
1.224621755141218182e+00 4.379352755160949816e-03
1.387904655826714073e+00 2.413702767809930861e-03
1.551187556512209964e+00 2.991315365500368719e-03
1.714470457197705633e+00 1.459186072850494204e-03
1.877753357883201302e+00 1.218129046261454389e-03
2.041036258568697637e+00 6.675532091812816544e-04
2.204319159254193305e+00 1.260548025078931126e-03
2.367602059939688974e+00 4.649187370050741940e-04
2.530884960625184643e+00 1.180366196367428795e-03
2.694167861310680312e+00 9.082378167441044212e-04
2.857450761996176425e+00 2.989044661745776828e-04
3.020733662681672094e+00 5.100184607223652014e-04
3.184016563367167763e+00 6.379790173735698120e-04
3.347299464052663875e+00 1.555872439332721001e-04
3.477925784601060055e+00 4.956804714928084166e-04
3.673865265423655213e+00 6.567197785656997020e-04
3.837148166109150882e+00 4.172726449719458587e-04
4.000431066794646107e+00 3.850282353925131942e-04
4.163713967480141775e+00 1.652896921287722867e-04
4.326996868165637444e+00 4.517103607015885217e-04
4.490279768851134001e+00 1.045414605024900503e-04
4.653562669536629670e+00 1.242508869371805851e-04
4.816845570222125339e+00 2.871129531386790515e-04
4.980128470907621008e+00 1.236552214817647803e-04
5.110754791456018076e+00 1.719063379403883369e-04
5.306694272278612345e+00 4.233161023049123416e-04
5.469977172964108014e+00 4.575365279097876395e-05
5.633260073649604571e+00 3.449943290532524165e-04
5.796542974335100240e+00 1.260105389812136859e-04
5.927169294883496420e+00 5.901147347852050474e-05
6.090452195568992089e+00 1.255476644040610880e-04
6.286391676391587247e+00 2.426709362392752672e-04
6.449674577077082915e+00 1.626821754351536668e-04
6.612957477762578584e+00 1.506305303758433275e-04
6.776240378448074253e+00 8.737220157998713474e-05
6.939523279133569922e+00 1.834957611762835881e-04
7.102806179819066479e+00 6.124259711752966413e-05
7.233432500367462659e+00 3.690220474989065329e-05
7.396715401052958327e+00 1.943900750907896931e-04
7.592654881875553485e+00 6.257087886157083195e-05
7.723281202423950553e+00 8.463863680955655542e-05
7.886564103109446222e+00 1.130012986344378686e-04
8.082503583932041380e+00 1.343983986141510556e-04
8.245786484617537937e+00 7.728017383962321684e-05
8.409069385303032718e+00 2.001989542040967420e-04
8.735635186674024055e+00 6.494601444623684786e-05
8.866261507222422011e+00 6.592476018833684070e-05
9.062200988045017169e+00 6.426181289421550955e-05
9.192827308593413349e+00 2.842769804652811960e-05
9.388766789416008507e+00 1.941597471713797077e-04
9.552049690101503288e+00 3.687242759271435084e-05
9.715332590786999845e+00 4.936133324378713579e-05
1.000924181202089258e+01 1.209701856779935448e-04
1.020518129284348774e+01 7.688834969397256337e-05
1.033580761339188392e+01 3.856986633104538377e-05
1.049909051407737870e+01 1.264355637738740932e-04
1.069502999489997386e+01 1.590181128297847959e-04
1.102159579627096520e+01 9.793640685985961064e-05
1.118487869695646175e+01 8.165923994860481750e-06
1.131550501750485793e+01 3.666204777773068093e-05
1.151144449832745309e+01 5.760231148017922289e-05
1.164207081887584927e+01 1.730606461265064174e-05
1.180535371956134583e+01 5.566443826673265290e-05
1.196863662024684061e+01 8.921559313561387217e-05
1.216457610106943577e+01 1.218259725030776267e-04
1.232785900175493232e+01 5.192792961509320923e-05
1.249114190244042710e+01 2.655972190031478564e-05
1.262176822298882506e+01 3.991891148655884384e-05
1.281770770381141844e+01 4.423698373110945158e-05
1.311161692504531118e+01 1.983214478127400156e-04
1.330755640586790634e+01 8.274603947607918136e-05
1.347083930655340289e+01 2.677647833293845316e-05
1.363412220723889767e+01 4.149872167813787971e-06
1.376474852778729563e+01 3.662862853283235050e-05
1.392803142847279041e+01 9.179809078332354421e-07
1.409131432915828697e+01 3.737475219206465510e-05
1.425459722984378175e+01 1.139551812417310440e-05
1.441788013052927830e+01 1.329807279251312953e-04
1.474444593190026964e+01 7.515413548330018953e-05
1.490772883258576442e+01 1.558998608346304183e-05
1.510366831340835958e+01 7.124187801631943096e-05
1.529960779423095474e+01 3.094041477301972100e-05
1.539757753464225232e+01 2.880767496134114213e-05
1.572414333601324365e+01 3.764640156560843451e-05
1.588742623669874021e+01 1.276828213084925986e-04
1.608336571752133537e+01 8.376847179451430586e-06
1.621399203806973333e+01 1.754266212812186139e-05
1.640993151889232493e+01 7.239220281466277680e-05
1.683446706067461562e+01 6.185284929433864927e-05
1.699774996136011040e+01 5.755300887382707061e-05
1.719368944218270556e+01 1.176031297926884704e-04
1.738962892300530072e+01 4.738427846532038998e-06
1.755291182369079550e+01 3.842295199133961321e-05
1.771619472437629383e+01 2.564340834986701413e-05
1.787947762506178861e+01 5.510089982786751581e-05
1.817338684629568135e+01 1.991475719806068087e-05
1.849995264766667091e+01 9.296152744414232368e-05
1.879386186890056365e+01 6.415315918282552476e-05
1.898980134972315881e+01 1.083733641262534013e-04
1.921839741068285434e+01 3.546016886842596599e-05
1.944699347164254633e+01 1.883963742985192386e-05
1.964293295246514148e+01 1.396365749890172037e-05
1.980621585315063982e+01 5.165796112981349704e-05
1.996949875383613460e+01 2.916105310733985633e-05
2.016543823465872975e+01 9.853570334831701129e-05
2.042669087575552211e+01 6.006915309805479272e-05
2.075325667712651523e+01 1.035593946242574039e-05
2.094919615794911039e+01 2.993438005921495647e-05
2.107982247849750479e+01 2.953442290792794478e-05
2.127576195932009995e+01 3.308301366768180859e-05
2.160232776069109306e+01 1.429796342847480437e-04
2.179826724151368822e+01 6.117725499359848900e-05
2.209217646274758096e+01 9.442039035142216636e-06
2.232077252370727294e+01 2.095143058154761329e-05
2.251671200452986810e+01 6.955942812336120089e-05
2.274530806548956363e+01 1.291780537876045097e-05
2.290859096617505841e+01 7.633751958170314014e-05
2.339843966823154631e+01 2.298187706989621832e-05
2.359437914905414146e+01 1.332814229675300089e-05
2.385563179015093382e+01 1.490608475652605827e-04
2.421485417165902376e+01 5.216928638812810500e-05
2.441079365248161892e+01 2.834509204789262740e-05
2.470470287371551166e+01 3.560946560715653298e-05
2.493329893467520719e+01 9.817002742282252746e-06
2.529252131618329713e+01 9.132564982267925172e-05
2.552111737714299267e+01 4.412354921309397999e-05
2.568440027782848745e+01 4.794161243046930770e-05
2.584768317851398223e+01 1.444920404202193617e-05
2.604362265933657739e+01 7.243294962355287529e-05
2.646815820111886808e+01 5.168908429290856957e-05
2.666409768194146324e+01 4.863447884667841632e-05
2.699066348331245280e+01 3.059217891954510828e-05
2.728457270454634553e+01 1.580228250655442727e-05
2.751316876550604107e+01 1.130493170575103405e-04
2.777442140660283343e+01 7.310726939734661048e-06
2.793770430728832821e+01 7.681362629691593799e-05
2.826427010865932132e+01 3.221574353375297500e-05
2.846020958948191648e+01 4.321897516504267470e-05
2.865614907030451164e+01 4.798587810725406016e-05
2.888474513126420362e+01 5.239900103879243558e-05
2.927662409290939394e+01 1.808976524505348762e-05
2.940725041345779189e+01 2.129635716437702027e-05
2.957053331414328667e+01 7.124544002098704039e-05
2.976647279496588183e+01 3.023119993816563212e-05
3.009303859633687139e+01 7.476799722155836551e-05
3.035429123743366731e+01 5.027758915866645337e-05
3.058288729839335929e+01 1.799199414059910406e-05
3.074617019907885762e+01 1.039221386471846235e-05
3.094210967990144923e+01 8.098675948556223643e-05
3.123601890113534196e+01 2.729502910937803335e-05
3.162789786278053228e+01 4.400313402523502773e-05
3.215040314497412055e+01 3.893293100667163064e-05
3.234634262579671571e+01 1.272983372043846135e-04
3.257493868675641124e+01 2.027976629764493367e-05
3.273822158744190602e+01 8.249171402106211115e-06
3.296681764840160156e+01 3.549409279970219052e-05
3.319541370936128999e+01 3.004114968869452389e-05
3.352197951073228666e+01 5.674436273688632888e-05
3.378323215182907546e+01 4.154147958959664730e-05
3.414245453333716540e+01 4.976356876817198928e-05
3.453433349498235572e+01 4.955745934043764812e-05
3.473027297580495087e+01 1.700418625743899196e-05
3.495886903676464641e+01 9.613670418613520037e-05
3.515480851758724157e+01 1.834901400593536480e-05
3.531809141827273635e+01 1.063752901562196752e-06
3.551403089909533151e+01 9.190783484238725023e-05
3.603653618128891623e+01 5.137537041315225374e-05
3.626513224224861176e+01 3.372460451668956579e-05
3.642841514293410654e+01 3.141836743690722459e-05
3.659169804361960843e+01 5.685994004323343096e-06
3.695092042512769837e+01 1.071963615402754549e-04
3.740811254704708233e+01 3.805431922844638287e-05
3.760405202786967749e+01 3.943795731407823108e-05
3.783264808882937302e+01 4.150182686005167502e-06
3.806124414978906856e+01 3.574003412000870507e-05
3.828984021074876409e+01 6.670399589266924948e-05
3.864906259225685403e+01 3.208908093092650160e-05
3.884500207307944919e+01 2.547984099215278359e-05
3.904094155390204435e+01 4.279009067718642393e-05
3.920422445458753913e+01 6.286341452625699973e-05
3.943282051554723466e+01 4.194965870907050540e-05
3.959610341623272944e+01 5.420076399364719128e-05
3.982469947719241787e+01 1.844913855244013291e-05
4.015126527856341454e+01 2.470316069840540566e-05
4.037986133952311008e+01 8.159726405069454960e-06
4.064111398061989888e+01 9.057887854574861431e-05
4.086971004157959442e+01 7.647362681546273190e-05
4.109830610253928995e+01 5.934288049985691983e-05
4.149018506418448027e+01 1.731745033342826318e-05
4.178409428541836945e+01 2.219764871522985391e-05
4.201269034637806499e+01 9.285104399607526564e-05
4.227394298747486090e+01 2.628121711358148872e-05
4.256785220870875008e+01 5.775752522313224834e-05
4.292707459021684002e+01 4.142734076958067300e-05
4.328629697172492996e+01 5.734644358061627878e-05
4.344957987241042474e+01 2.709967900377337251e-05
4.367817593337012028e+01 1.972601335373382970e-05
4.400474173474110984e+01 1.078097232129929348e-04
4.429865095597500613e+01 2.862843629059552380e-05
4.469052991762019644e+01 5.789828741722385778e-05
4.495178255871699236e+01 1.722139471284160798e-05
4.524569177995088154e+01 1.833124454815269141e-05
4.547428784091057707e+01 8.921487205626940360e-05
4.570288390187027261e+01 4.094191050460264204e-05
4.589882338269286777e+01 2.624657067230870021e-05
4.609476286351545582e+01 7.296605324192197183e-05
4.629070234433805098e+01 3.466121716511663111e-05
4.658461156557194727e+01 4.467234937355278840e-05
4.684586420666874318e+01 4.239618770555603276e-05
4.730305632858812714e+01 3.228994547437591005e-05
4.753165238954782268e+01 1.611016923294320393e-05
4.769493529023331746e+01 1.072129374839923349e-04
4.792353135119301299e+01 3.633192421762365118e-05
4.811947083201560815e+01 6.408723475132972855e-05
4.834806689297530369e+01 3.343912676577862249e-05
4.867463269434629325e+01 7.008171804256832461e-05
4.887057217516888841e+01 1.032030825076855298e-05
4.909916823612858394e+01 4.950691234030127157e-05
4.936042087722537275e+01 3.619653238328379675e-05
4.958901693818506828e+01 6.102650096347432519e-05
4.998089589983025860e+01 7.412411040531920203e-05
5.030746170120124816e+01 5.481541162904634889e-05
5.050340118202384332e+01 3.114570305088009398e-05
5.073199724298353885e+01 2.954479971251810404e-05
5.099324988408033477e+01 4.567525752350838300e-05
5.138512884572552508e+01 1.166916218306567613e-04
