Frequency Power
3.661455841348245643e-01 1.429269562653639192e-01
6.287871162174019091e-01 4.469185258716563969e-02
8.927224489506323524e-01 2.855457575871491946e-02
1.151482579081250401e+00 1.320159766129125056e-01
1.644420626980077849e+00 5.058480580988253261e-02
1.918706364918532969e+00 5.647597391427050355e-03
2.248625530835071107e+00 2.258759561021599430e-02
2.851536634039411044e+00 3.011973133611257555e-02
3.220269819475541695e+00 1.231285839536795483e-02
3.508787364571181122e+00 7.092709064423928858e-03
3.834825128535759742e+00 7.662996796383156513e-03
4.437736231740100123e+00 5.829131991522561521e-03
4.766361597005984940e+00 3.415768150779034673e-03
5.277412854013955545e+00 4.396409776130457206e-03
5.541348186747185878e+00 8.081288551415057551e-04
5.840216137048050093e+00 3.460171197143122740e-03
6.581563909872270912e+00 2.537020220672648197e-03
7.043450742155423328e+00 6.652450528865301886e-04
7.348787695709552814e+00 1.695764823746825738e-03
7.661887453167601336e+00 6.269921527319849809e-04
7.874070759874707726e+00 1.106359610694334847e-03
8.361833605170922112e+00 1.439775557085727718e-03
8.668464359375704475e+00 9.700337920929527798e-04
8.949219100567425755e+00 1.779076734480426226e-03
9.321833687955516368e+00 2.400775795339205260e-04
9.600000827845930118e+00 7.368926431157146045e-04
9.931213794413121576e+00 2.771199409789700235e-03
1.025078255512443448e+01 1.557900422015682249e-03
1.074113300172195551e+01 7.231291731335181367e-04
1.113186079821918995e+01 4.761508412733372886e-04
1.146566136608768716e+01 7.007265760185010578e-04
1.172312769556765133e+01 2.329879315418333194e-04
1.198318162634892303e+01 5.549902484686542858e-04
1.228075577599913260e+01 4.621536659914914254e-04
1.254469110873236382e+01 2.652976079253363236e-04
1.287978547725151479e+01 6.564362117992478870e-04
1.328215747960462600e+01 1.068581046062907645e-04
1.355126801494046873e+01 1.552619450592211908e-04
1.404938126544190879e+01 1.442820802068202476e-03
1.438965083656367128e+01 4.454063439779413157e-04
1.480496084542331303e+01 3.272505140853492812e-04
1.509865359312156485e+01 3.287973339909980286e-04
1.538199593561459011e+01 3.070111958353821907e-04
1.564981267029978085e+01 4.886846132288926586e-04
1.604442186874897303e+01 1.426885247596277699e-05
1.633682081579657108e+01 5.638775520836676906e-04
1.665509577585723022e+01 4.106219752949320117e-04
1.694749472290483183e+01 2.662437826338843409e-04
1.743137616624908759e+01 2.734879497966106565e-04
1.775094492696040049e+01 3.337835785204797709e-04
1.813002851760175460e+01 1.168750589048274488e-04
1.845994768351829407e+01 5.351410893832351254e-04
1.898652454833409919e+01 2.185052463599056975e-04
1.925434128301928993e+01 1.243641927822757291e-04
1.957261624307994907e+01 4.642407969461536960e-04
2.002285886950722471e+01 1.673017124032684464e-04
2.047439529658515411e+01 1.325761003494898118e-04
2.078102605078993648e+01 4.173082567386851853e-04
2.110188861215190315e+01 2.694738033120624315e-04
2.145250858847889219e+01 1.012218614434190380e-04
2.181477277066175446e+01 4.630757089778787046e-04
2.236075664523735895e+01 6.495560085035744175e-05
2.278900466060353480e+01 8.119361844251934328e-05
2.307234700309656006e+01 3.039836181416624423e-04
2.337380255469873092e+01 1.696136262336461742e-04
2.365067589393849090e+01 1.217970544561584948e-04
2.388744141300800550e+01 9.089876403869668600e-05
2.417207755615168807e+01 2.703847639498219664e-05
2.442178108172773321e+01 5.458386225693858155e-05
2.486296710360043605e+01 1.256909639532017089e-04
2.513078383828562679e+01 2.904468576034953571e-04
2.546846580810608174e+01 2.004500653990021523e-04
2.595622865340229879e+01 3.788072088001721870e-04
2.629261682257209998e+01 9.915968313788267824e-05
2.671568963533566077e+01 2.056161143182592499e-04
2.719310207542665125e+01 2.333008376236820908e-04
2.751137703548731395e+01 2.696695592115408934e-04
2.782835819489731932e+01 9.722585356585022149e-05
2.827342561872198345e+01 4.042605043016227277e-05
2.850630973583954031e+01 7.052245946715343823e-05
2.879482728093517707e+01 1.701965866682635922e-04
2.915321006116608515e+01 5.313097506647124424e-05
2.953746885441005077e+01 1.535918911137087431e-04
2.984151200731352915e+01 3.375514799419151838e-05
3.006663332052716697e+01 1.066672584217734013e-04
3.058544738143905661e+01 2.148469830698898522e-04
3.110943664495355776e+01 7.158325221711909638e-06
3.149628303949883090e+01 8.413770388047796256e-05
3.187019142753757350e+01 1.765086317248888963e-04
3.214318336482537575e+01 8.517896825444185125e-05
3.237477368129228239e+01 2.905535183601326441e-05
3.266199742573726894e+01 1.112320818965067558e-04
3.301002980076294335e+01 2.435806958878924445e-04
3.361682230591924281e+01 1.129636931369110630e-04
3.391569025622010969e+01 7.556199182621823197e-05
3.423137761497946485e+01 3.056748064389897793e-04
3.465833182969498694e+01 1.323607022612449105e-04
3.503741542033633749e+01 6.870584126909754354e-05
3.549024564806492066e+01 1.373525259209559639e-04
3.593919447384154608e+01 8.983637291688181779e-06
3.624970662999828619e+01 1.308768073892458046e-04
3.657315679266155684e+01 8.786520226034536711e-05
3.703763122624602033e+01 1.051649008022588196e-04
3.734684958175210312e+01 3.832446271177669146e-05
3.780097361013134361e+01 8.074321313996753104e-05
3.828485505347559581e+01 5.072807024332571580e-05
3.863159362785062712e+01 1.696195125949383415e-04
3.910512466598965631e+01 7.225572769662280020e-05
3.939493601173595039e+01 7.922367448574629085e-05
3.971709237374856372e+01 1.018767114954139617e-04
4.030447786914506736e+01 7.345763558598439476e-05
4.064604124091748361e+01 2.545500066457525050e-04
4.097078520423141157e+01 7.317868067611461727e-05
4.119978791939701068e+01 1.643293949864256317e-05
4.142620303326130227e+01 1.370827546624068552e-05
4.176647260438306120e+01 2.037496235035040390e-04
4.242501713556548282e+01 9.104448452941202622e-05
4.295806300363455676e+01 8.897722943203628860e-05
4.328410076759913494e+01 1.083993563301105767e-04
4.373693099532771811e+01 5.441284027319976855e-05
4.405132455343642306e+01 3.607263648847248538e-05
4.449380437595977611e+01 1.911513902794337232e-05
4.479914132951390826e+01 7.754802691731739798e-05
4.531278018782317929e+01 3.011368226610592743e-05
4.579019262791417333e+01 1.300425289137916698e-04
4.613175599968658958e+01 2.038793652828003631e-04
4.663892585474260244e+01 3.520000429272085977e-06
4.701930324603461031e+01 3.576413532412949116e-05
4.735827901650571903e+01 3.058007195265043023e-04
4.770113618892878549e+01 5.550663240961799347e-05
4.814749741340410338e+01 5.448432890507888798e-05
4.847224137671803135e+01 1.067201436537081727e-04
4.888625758492701578e+01 1.041767770412340642e-04
4.941671585169478220e+01 4.684822482253321938e-05
4.973110940980348715e+01 9.166874378811480217e-05
4.993811751390798293e+01 9.385746376839328284e-05
5.027579948372843432e+01 4.948008318209876251e-05
5.072345450885440954e+01 3.231864580898906108e-05
5.122933056325976509e+01 4.337812399389965137e-05
5.151137910510213658e+01 9.883016108511332083e-05
5.178695864369124990e+01 3.346851760538881951e-05
5.221908806100937994e+01 1.122643164345791565e-05
5.252054361261154725e+01 1.069485774411953573e-04
5.284658137657612542e+01 1.084126308000043040e-04
5.318943854899919899e+01 1.368539442333609597e-05
5.356852213964054954e+01 1.013384319328962131e-04
5.407051679209395445e+01 8.728785392978221118e-05
5.439137935345591757e+01 1.718807860607275099e-04
5.487137939484821203e+01 1.048563835413655106e-04
5.520259236141540526e+01 6.264393125338465779e-05
5.558038215140610561e+01 9.207515651324310938e-05
5.586501829454978463e+01 4.243640577032414547e-05
5.613671643118693311e+01 3.837730222533966622e-05
5.640712076717343137e+01 4.521130603273097433e-05
5.668658170771450244e+01 6.295293624758820832e-05
5.698803725931666975e+01 3.494185368587551994e-05
5.730760602002798265e+01 3.299546017039543268e-05
5.760129876772623447e+01 5.526273642569201383e-05
5.794544974079995825e+01 8.186428945428671211e-05
5.823267348524494480e+01 1.146229173489936880e-05
5.851601582773796650e+01 1.353551701158034774e-04
5.922631238494651740e+01 1.277951655658162572e-04
5.956658195606827633e+01 1.069575739520328591e-04
6.025359010156506656e+01 9.169106656438167876e-05
6.080863058069524385e+01 1.491447337806498289e-04
6.132356323965517220e+01 7.588801098236524763e-05
6.160561178149755079e+01 6.473797766469171877e-06
6.189283552594253734e+01 1.000044975445587892e-04
6.228097572113846070e+01 2.807264852232486593e-06
6.257078706688475478e+01 1.231625958517302991e-04
6.309218872909794840e+01 1.451769565160692657e-04
6.341046368915861109e+01 4.635447137259510132e-05
6.369380603165163990e+01 3.903342418429386131e-05
6.430318613810923978e+01 7.059080817320796187e-05
6.465639371573753635e+01 1.615164749734154467e-04
6.496173066929166851e+01 4.855747948150285139e-05
6.542102990027350984e+01 1.448626489203045048e-04
6.591526174882299927e+01 9.665630287782281545e-05
6.629046393751238497e+01 1.622324536700741379e-04
6.666307852490048447e+01 4.724564489188898725e-05
6.698264728561179027e+01 2.238450175039370297e-05
6.727892763461134962e+01 3.001773180016900332e-05
6.751957455563282906e+01 9.315066883097342099e-05
6.803321341394210719e+01 5.523615103604457644e-05
6.831784955708577911e+01 4.025127277686619691e-05
6.860119189957880792e+01 1.795753828394828946e-05
6.901132670583584172e+01 4.946416482746344501e-05
6.954437257390490856e+01 1.195264908426268454e-04
6.981995211249402189e+01 8.129036267254362432e-05
7.012787666734945446e+01 1.783032241491353052e-04
7.041510041179444102e+01 1.199376451251638883e-04
7.102965572085466306e+01 8.518986164844547882e-05
7.136216248807249940e+01 2.950153489754217279e-04
7.168949405268773489e+01 4.641158444966676344e-05
7.213197387521108794e+01 1.184004268750986827e-04
7.252528927300963346e+01 1.175041272590170909e-04
7.295483108902645597e+01 2.670663151492150408e-05
7.321359121915708101e+01 6.784047697567247258e-06
7.338825430699523622e+01 3.443554157451687929e-06
7.370264786510394117e+01 1.433674275995496655e-04
7.397563980239173986e+01 2.759539026657828649e-05
7.419946731495473102e+01 3.806890280007084823e-05
7.449833526525559080e+01 7.184212070706816854e-05
7.502491213007139947e+01 1.713334008254846681e-04
7.537423830574773831e+01 3.006260604019428040e-05
7.576884750419692693e+01 6.171900841549128201e-05
7.627731115990359001e+01 9.603989348859366529e-05
7.652183948287702719e+01 3.426951933321414857e-04
7.686210905399879323e+01 1.173829177293568457e-04
7.712604438673201912e+01 1.009517351171154884e-05
7.770825467952590770e+01 3.026084569557541603e-04
7.809639487472183816e+01 3.084349642943624132e-04
7.835386120420180589e+01 5.094890408667679372e-05
7.880669143193038906e+01 1.495834479158640205e-04
7.921035723493415048e+01 1.678217128985668848e-04
7.962178584184182739e+01 1.700609274150415267e-05
8.013283709884980510e+01 9.262449352352239581e-05
8.043041124850000756e+01 3.400141231134521730e-05
8.067752717277475938e+01 1.874307377273749496e-05
8.096733851852104635e+01 1.028265699608265764e-04
8.145898276576922115e+01 1.529572817267140937e-04
8.206189386897355575e+01 2.833460364325881956e-04
8.248496668173712010e+01 1.027472201587150406e-04
8.324313386301983542e+01 8.200967231141898135e-04
8.358340343414160145e+01 6.766046452565164062e-05
8.385510157077874283e+01 2.937531290039855990e-05
8.443731186357263141e+01 3.426520342326999386e-04
8.479181324185158530e+01 2.123396609980279066e-04
8.514760842078118230e+01 1.967641508122478238e-04
8.561596425631759644e+01 3.725176896589848662e-04
8.620852495431671514e+01 1.631192066362831521e-04
8.688777029590958989e+01 5.898679059332418307e-04
8.736906413795253457e+01 1.834876666750249726e-04
8.770157090517038512e+01 1.227732660748286585e-04
8.836917204090737243e+01 5.865195572055516369e-04
8.875731223610330289e+01 1.150554350411708956e-04
8.927742009766583919e+01 5.840465057211042740e-04
8.960475166228107469e+01 5.149395041186622442e-04
8.997219104706655912e+01 2.905963877457253463e-04
9.028270320322329212e+01 5.871591375516492907e-04
9.072259542444534475e+01 7.468732369241233354e-04
9.120130166518698900e+01 6.086894188480588153e-05
9.150793241939177847e+01 6.537449367452948792e-04
9.201122087249582648e+01 1.582488587882216382e-03
9.325973850037605928e+01 2.617606613618408008e-03
9.397003505758461017e+01 2.999750763845050391e-03
9.437240705993771428e+01 7.307113458731846409e-03
9.597542606609690097e+01 8.049336103196873260e-02
9.767806772235636004e+01 6.382080655528068504e-03
9.866653141945532468e+01 3.609590214700521878e-03
9.929402473502207727e+01 1.293234388384843911e-03
9.994868786425253404e+01 1.947079255389707643e-03
1.005321919576970799e+02 6.616419486941373627e-03
1.008789305320721041e+02 7.850355346289250146e-04
1.011247526556961986e+02 8.330130474421478816e-05
1.022128390028954357e+02 3.847222584448706240e-02
1.025207635577508825e+02 5.020556513145817829e-02
1.030990924485928133e+02 5.478483290483879276e-02
1.033940789969417153e+02 4.687595543499460671e-02
1.046762354417389247e+02 8.570549256759688169e-04
1.050553190323802824e+02 6.538710218524171509e-03
1.059648608897894064e+02 1.776404723051877143e-03
1.062507908335837357e+02 1.329003818159675095e-05
1.065082571630637034e+02 1.113934229072350082e-03
1.067592544892903987e+02 1.383910405204724072e-03
1.072612491417438036e+02 7.388223160305960966e-04
1.075303596770796446e+02 3.751497216634645023e-03
1.078589850423455232e+02 3.290805034536168142e-03
1.083053462668208482e+02 1.719539241172903660e-03
1.085796320047593042e+02 4.457575142156077787e-04
1.087969905140690230e+02 4.944593778792197129e-04
1.091773679053610238e+02 6.899295669198391746e-03
1.095745647051115270e+02 2.141222418317173179e-02
1.098747264560630441e+02 2.666111142741528842e-02
1.101852386122197913e+02 3.983691252889052375e-02
1.104634057521102051e+02 4.198824811948814045e-02
1.109356429895985769e+02 3.519386289797356293e-02
1.112422737438033664e+02 3.955862001248949128e-02
1.114971524719820195e+02 2.955890563587004402e-02
1.117714382099204755e+02 1.986763657067310007e-02
1.120534867517628470e+02 1.102878100786553080e-02
1.122799018656271386e+02 1.230750281493889729e-02
1.125865326198319138e+02 4.350821020128416670e-03
1.128685811616742996e+02 7.023333979765786390e-04
1.130730016644774878e+02 7.816821358395181427e-04
1.135219504902540990e+02 1.979023938823459838e-03
1.138246998425069307e+02 5.628744328591834926e-03
1.141222739921571332e+02 6.123626035254894559e-03
1.144224357431086503e+02 3.682882636133049618e-03
1.146682578667327448e+02 4.081929452095934673e-04
1.148959667812476937e+02 8.628247379619244156e-04
1.153423280057230045e+02 2.709853872740141788e-03
1.156631905670849676e+02 2.512431725242277123e-03
1.159258320991675504e+02 1.316889338263281441e-03
1.161431906084772692e+02 1.048018619763654196e-03
1.164330019542235561e+02 4.806781463520119410e-03
1.167305761038737728e+02 5.393588807300656388e-03
1.170216812502707171e+02 6.066537577417877936e-04
1.171976381387595296e+02 4.411235186016704214e-04
1.174576920695408120e+02 5.807184351501100969e-04
1.179570991206929023e+02 7.509788824919236966e-03
1.182469104664391892e+02 6.915592681180465252e-03
1.185160210017750302e+02 2.074189598019081024e-03
1.187644307267004251e+02 9.430231143903668352e-04
1.198641612797555496e+02 1.050645356007345044e-01
1.200892825929691980e+02 1.179457487206212046e-01
1.203376923178945788e+02 1.067990066932038851e-01
1.209561290289067585e+02 2.011013736866664250e-02
1.212368837700984869e+02 1.443539216336353972e-03
1.217556978310103659e+02 5.376127519129110868e-03
1.221813582450752449e+02 4.561242814461482706e-03
1.225009270057865507e+02 3.487104882035701407e-03
1.227493367307119456e+02 9.182183058337333348e-05
1.230223286679997443e+02 2.372169860280112699e-03
1.232797949974797120e+02 4.660162428519638855e-03
1.235851319510338442e+02 2.239312328196959006e-03
1.238296602740072814e+02 7.562288993776093444e-04
1.243187169199541415e+02 2.534420350690033338e-03
1.245723018474821515e+02 4.262314517768415502e-03
1.251428679344201669e+02 2.189807033245228559e-04
1.253291752281142095e+02 5.591201663710769416e-07
1.258790405046417646e+02 3.097676522369371445e-03
1.265699300520905268e+02 7.642321970127274183e-04
1.268403343880770109e+02 5.564631764862133269e-04
1.271624907500896313e+02 5.260406377994405113e-04
1.274173694782682986e+02 6.742693719834404881e-04
1.276217899810714869e+02 4.737977858823947818e-04
1.279944045684595721e+02 5.135420997596448940e-03
1.286387172924848130e+02 3.586272757133312800e-03
1.292687982093528660e+02 2.249092338800299292e-03
