Frequency Power
4.653465346534653158e-01 6.466127877181829797e-01
1.464356435643564547e+00 2.654728046336052305e-01
2.469306930693069280e+00 5.382712268991842741e-01
3.493069306930693063e+00 1.815202499783800383e-01
3.864356435643564680e+00 3.449902591183830469e-01
4.322772277227722171e+00 2.074667276589983733e-01
4.823762376237623606e+00 1.368955953991189411e-01
5.432673267326732613e+00 1.782228274389625056e-01
6.078217821782177843e+00 2.980517275649718911e-01
6.463366336633662890e+00 2.547252464028053609e-01
7.170297029702970448e+00 2.975427764704475786e-01
7.629702970297029374e+00 1.956105215928783114e-01
8.254455445544554237e+00 5.776287244962063916e-02
8.631683168316831356e+00 2.629755727617536509e-01
9.141584158415842154e+00 2.447671089547313883e-01
