Frequency Power
1.554180600796936096e-01 3.544371693820565932e-04
5.698662202922099018e-01 4.378090119478652187e-04
9.325083604781616575e-01 1.871224807547935205e-04
1.139732440584419804e+00 4.052563541281040626e-04
1.295150500664113302e+00 3.838727311960766359e-03
2.020434781036017036e+00 2.862510353901065972e-03
2.279464881168839607e+00 5.483786238516208481e-05
2.745719061407920325e+00 3.402765099536313956e-03
3.211973241647001487e+00 3.612959274315207707e-04
3.419197321753259189e+00 2.962265598966720682e-04
4.040869562072034071e+00 1.030185995815382090e-04
4.248093642178291773e+00 2.107495241651240496e-05
4.455317722284550364e+00 3.373399870271281107e-05
4.662541802390808066e+00 9.910558668072133180e-05
4.921571902523631081e+00 5.717092108114247922e-05
5.128795982629888783e+00 2.783680401742997138e-05
5.336020062736147374e+00 3.387037931886008053e-05
5.595050162868970389e+00 5.236266880237603374e-05
5.905886283028356942e+00 1.768053256177266284e-05
6.164916383161179958e+00 3.552593204555990901e-05
6.372140463267437660e+00 1.180242991465216175e-05
6.579364543373696250e+00 2.468306162489179585e-06
6.786588623479953952e+00 1.372787698535990784e-05
7.045618723612776968e+00 1.146069508492284555e-05
7.356454843772164409e+00 6.751783001679886188e-06
7.563678923878422111e+00 9.549390394692457151e-06
7.822709024011245127e+00 1.865928820595783301e-05
8.081739124144068143e+00 7.340338253825454365e-06
8.288963204250325845e+00 1.297325062394451128e-05
8.599799324409712398e+00 1.044998187060525204e-05
8.858829424542536302e+00 1.911361681443019242e-06
9.066053504648794004e+00 7.359775299744294313e-06
9.273277584755051706e+00 4.912975217561712869e-06
9.480501664861309408e+00 2.957725400947827213e-06
9.739531764994133312e+00 7.069089472176435835e-06
1.005036788515351986e+01 7.037607075423037591e-06
1.030939798528634199e+01 4.528718404949295868e-06
1.051662206539260147e+01 6.249330629313368807e-06
1.077565216552542360e+01 8.441506432632352470e-06
1.098287624563168130e+01 3.151485377177177293e-06
1.124190634576450520e+01 5.325090211783492153e-06
1.150093644589732733e+01 4.745406338324331705e-06
1.175996654603014946e+01 1.234824993133289047e-06
1.196719062613640716e+01 3.844973150210540882e-06
1.217441470624266664e+01 6.111737056096762530e-06
1.243344480637548877e+01 3.243761617683670540e-06
1.274428092653487532e+01 1.399686413617358131e-06
1.295150500664113480e+01 2.818146115987804590e-06
1.321053510677395693e+01 1.719829899462228599e-06
1.341775918688021463e+01 5.622250608383846451e-06
1.372859530703960296e+01 8.948529069258721400e-06
1.398762540717242508e+01 1.979795067806616008e-06
1.424665550730524721e+01 3.506147762827877318e-06
1.445387958741150491e+01 2.728738230886193610e-06
1.466110366751776439e+01 1.274457727868249116e-06
1.492013376765058652e+01 1.555090127162844435e-06
1.517916386778340865e+01 3.050897103868836907e-06
1.543819396791623255e+01 5.267796232520160899e-07
1.564541804802249025e+01 1.947013139028789876e-06
1.590444814815531238e+01 7.127716761794015129e-06
1.616347824828813629e+01 4.352409610923320079e-06
1.642250834842095841e+01 4.474215758573608240e-06
