Frequency Power
1.256543449664834222e+00 1.345606413620094747e-12
2.513086899329668444e+00 4.383680155702109415e-13
3.769630348994502889e+00 9.098427969368287090e-13
5.026173798659336889e+00 1.023394984290414617e-12
7.225124835572796833e+00 3.194748586864212629e-12
8.795804147653839777e+00 6.604772724786281546e-13
1.005234759731867378e+01 1.585872923970134953e-12
1.099475518456729972e+01 3.874466976475136490e-12
1.225129863423213372e+01 4.900506243389700219e-11
1.382197794631317578e+01 2.148730369897346851e-13
1.759160829530767955e+01 1.053084443233782886e-12
2.041883105705355561e+01 6.310976068148295965e-13
2.450259726846426744e+01 4.829090947840939974e-13
2.638741244296151933e+01 1.661104040270309578e-13
2.858636347987497928e+01 1.772824063230381483e-13
3.047117865437223116e+01 3.640456871442159904e-13
3.298426555370189561e+01 4.319886201017562219e-14
3.455494486578294300e+01 6.278395373252996355e-14
3.769630348994502356e+01 4.860590666037118352e-14
4.178006970135573539e+01 6.951861556786024160e-14
4.586383591276644722e+01 6.388942594162171387e-14
4.869105867451232683e+01 2.451171318446271107e-14
5.057587384900957517e+01 1.926349586745436311e-14
5.246068902350683061e+01 1.900772859653959970e-14
5.434550419800407894e+01 9.724041172911515131e-15
5.685859109733375050e+01 1.017553029013557585e-14
5.780099868458237466e+01 1.699493891890496897e-14
6.031408558391204622e+01 2.880352062651467346e-14
6.157062903357687844e+01 1.792694634676044942e-14
6.345544420807412678e+01 1.818977871316059306e-14
6.659680283223620734e+01 9.441348995940468588e-15
6.910988973156588600e+01 7.920648157607292744e-15
7.099470490606313433e+01 2.018907472903699455e-14
7.476433525505763100e+01 2.010580765151081501e-14
7.821982974163593383e+01 1.737790141522632495e-14
8.104705250338180633e+01 1.191738111227587337e-15
8.261773181546284661e+01 1.078984442673538139e-14
8.607322630204114944e+01 9.460898931033652885e-15
8.921458492620323000e+01 1.475365968588537968e-14
9.267007941278151861e+01 4.173925641694808845e-15
9.424075872486257310e+01 4.076472169316150836e-15
9.581143803694361338e+01 4.393965619561502875e-15
9.706798148660844561e+01 4.480951310810830022e-16
9.832452493627327783e+01 2.500500825296310114e-15
1.002093401107705262e+02 1.551175382259463744e-14
1.033506987349326209e+02 1.091075393682755418e-14
1.052355139094298693e+02 3.399772167881206803e-15
1.071203290839271176e+02 6.060990288046437097e-15
1.093192801208405740e+02 4.000428916947124470e-15
1.108899594329216143e+02 4.752467869400919388e-15
1.146595897819161252e+02 1.962433025864717522e-14
1.181150842684944138e+02 6.615060373297718417e-15
1.199998994429916621e+02 3.214364415031629799e-15
1.215705787550727166e+02 4.209294173122341685e-15
1.256543449664834213e+02 5.975388942524868097e-15
1.275391601409806697e+02 6.897261946884078435e-17
1.297381111778941261e+02 7.460680786441526781e-15
1.313087904899751663e+02 2.339940095173723242e-15
1.338218773893048308e+02 3.842228372885866593e-15
1.366491001510507317e+02 2.654628703242830619e-15
1.382197794631317720e+02 2.526554428365084981e-15
1.407328663624614364e+02 5.246016665688577559e-15
1.423035456745424767e+02 2.141754082853564892e-15
1.435600891242073089e+02 3.218338846208915494e-15
1.454449042987045573e+02 1.186545590762279180e-15
