Frequency Power
4.332772444109903587e-01 1.127639463181159818e-03
1.681374381296380394e+00 2.768063635358722417e-04
2.476793800140437263e+00 3.148118783059458952e-03
3.340114876690694068e+00 6.444526671829207834e-04
4.019131453752693872e+00 7.707744039306085285e-05
4.681980969456074781e+00 2.270833966621770028e-04
5.584102993267017645e+00 5.575728897942081432e-04
6.644662218392426212e+00 9.668718034190878293e-05
7.223443015030988512e+00 1.891789016758913786e-05
8.057663381135730774e+00 7.361227267484377664e-05
8.937151519044606474e+00 8.278955959741306155e-06
9.816639656953482174e+00 5.638171797475235867e-05
1.118113963562093005e+01 2.229808665171287307e-05
1.204446071217118686e+01 4.445325442871383824e-05
1.302095121823177770e+01 2.134629374120420030e-05
1.386163840887996734e+01 5.799368011368112062e-06
1.449215380186610957e+01 2.107660060998810790e-05
1.536840852750326292e+01 1.617494610524253495e-05
1.626083031449903160e+01 7.960976911967443219e-06
1.695601395291965119e+01 9.477376838005071330e-06
1.774173313494853588e+01 8.984894565990391392e-06
1.911916676270287851e+01 1.122702364702572625e-05
2.005038949695933681e+01 7.444306390782651370e-06
2.108831483618267910e+01 8.464747316730715566e-06
2.194516908818948764e+01 1.023882741016633464e-05
2.264681955115355549e+01 6.047102542401527704e-06
2.339697119819348003e+01 7.325712923277621387e-06
2.422795815202649905e+01 1.257089676929258617e-05
2.585436452470357338e+01 2.102364109801599069e-06
2.671768560125383019e+01 1.095866246779838034e-05
2.756160620417374574e+01 6.262739898681796806e-07
2.835055879847435278e+01 2.952589241983194497e-06
2.908454338415565843e+01 4.325066621625690891e-07
2.980882773302178990e+01 5.885689774354205248e-06
3.070124952001756213e+01 7.532211021405656491e-06
3.238909072585739324e+01 1.934807718483878085e-06
3.324594497786419822e+01 9.716023326280671924e-06
3.465571272833577865e+01 1.459268967969296570e-06
3.557723522577706632e+01 6.263501579310349643e-06
3.658929326682661554e+01 3.645020925108862188e-06
3.734914515068171426e+01 4.643750006857317228e-06
3.814456456952576957e+01 4.752357447953182193e-06
3.922452426828152028e+01 3.668363210400114705e-06
4.061812495739448536e+01 2.915297599045959728e-06
4.182095432247574252e+01 1.076808165718860219e-06
4.269397563584116995e+01 3.102089854481630298e-06
4.379333580822726191e+01 5.644603198858479837e-06
4.497676469967817781e+01 3.885974779568564758e-06
4.582068530259809336e+01 2.824415015070139362e-06
4.660317107235525214e+01 7.236066381262985914e-06
4.790623621785994857e+01 5.686590934713845746e-06
4.857878597037849744e+01 1.160313833306309798e-06
4.926426937198394995e+01 5.879141342036426234e-06
5.008232267673007243e+01 5.944813825073493547e-06
5.089390915693275019e+01 9.272886773077122311e-06
