Frequency Power
7.692307691048084761e-01 4.019209498432976574e-05
1.465201464961539912e+00 5.441728809632274234e-05
2.271062270690387130e+00 2.075570836821896009e-04
2.783882783426925744e+00 6.378887213460968163e-05
3.260073259539426616e+00 4.871208699616583605e-05
3.626373625779811594e+00 4.429349662980123885e-05
4.395604394884619737e+00 1.203750739812541482e-03
4.908424907621158795e+00 8.788061259492703156e-04
5.494505493605775115e+00 8.524102522821440744e-05
5.934065933094236911e+00 1.033011740843327603e-05
6.300366299334621445e+00 4.581108542509451447e-05
6.666666665575006867e+00 1.603720507588178527e-05
7.069597068439430032e+00 2.260904402684384314e-04
7.912087910792315881e+00 4.997592273740745350e-05
8.571428570025009464e+00 1.228909254148251307e-04
9.120879119385586264e+00 1.933460198150627868e-04
9.816849815242317590e+00 2.111673630830076739e-02
1.087912087733943345e+01 5.609896741787646321e-05
1.186813186618847382e+01 1.115091885570736202e-04
1.227106226905289788e+01 6.798391049971417395e-05
1.274725274516539741e+01 7.124894711859108061e-05
1.340659340439809100e+01 1.260988745910436549e-04
1.413919413687886006e+01 6.342304854862886206e-03
1.476190475948751590e+01 7.751507878115635472e-05
1.553113552859232449e+01 4.978162217823030588e-05
1.600732600470482581e+01 7.666369574086421019e-06
1.637362637094521034e+01 1.523528677513357503e-05
1.688644688368174940e+01 3.718232732886538267e-04
1.736263735979424894e+01 3.097546847416095397e-06
1.776556776265867299e+01 4.129900876691695329e-05
1.809523809227501800e+01 5.829399478561613814e-06
1.853479853176348158e+01 3.893160574073016881e-05
1.886446886137982659e+01 4.490198344116945835e-05
1.926739926424425065e+01 2.456347789414370340e-05
1.967032966710867470e+01 7.497430821079799281e-05
2.014652014322117424e+01 9.810608842874941229e-06
2.065934065595771330e+01 3.009082502105333765e-05
2.113553113207021283e+01 1.107733479278017949e-04
2.194139193779906094e+01 6.392806152990735107e-05
2.234432234066348499e+01 1.676207473840907842e-05
2.271062270690386953e+01 5.236481369242058550e-06
2.307692307314425406e+01 3.198946590054126555e-05
2.347985347600867811e+01 2.088356847118671563e-05
2.406593406199329266e+01 3.229850001594443556e-05
2.457875457472983172e+01 2.545778005202887077e-05
2.501831501421829529e+01 2.023729991740028469e-05
2.534798534383464030e+01 4.201815023524850538e-06
2.575091574669906436e+01 1.346907067848528558e-05
2.615384614956348841e+01 2.297075833849981276e-05
2.666666666230002747e+01 7.658986100833024716e-05
2.717948717503656653e+01 1.342888663839034274e-05
2.765567765114906607e+01 7.854442824045779637e-06
2.820512820050964464e+01 7.829814864841659906e-06
2.901098900623849275e+01 1.883366539483965129e-05
2.956043955559906777e+01 2.398571880929323063e-05
3.018315017820772184e+01 9.365509565387101067e-06
3.109890109380868495e+01 4.555885104062770265e-06
3.157509156992118804e+01 4.808703071400296795e-06
3.230769230240195355e+01 2.108219737991070807e-06
3.274725274189042068e+01 3.732091559559711960e-06
3.322344321800292022e+01 8.173342752006687565e-06
3.358974358424330120e+01 1.068337839586123573e-05
3.413919413360387978e+01 1.629590414622056539e-05
3.461538460971637932e+01 9.073537447902499658e-06
3.501831501258080692e+01 9.870980715440279729e-06
