Frequency Power
4.761904761125004826e-01 1.223240946261313559e-04
9.890109888490394852e-01 4.952318176176400983e-04
1.758241757953848072e+00 1.863036367044919675e-04
2.234432234066348499e+00 4.370542904424329963e-04
2.967032966547118455e+00 1.151072927128481572e-03
3.516483515907696145e+00 5.538205049079515012e-04
3.956043955396157941e+00 2.623757727963253804e-04
4.395604394884619737e+00 2.104538660052542986e-03
4.871794870997120164e+00 2.130796684217561420e-03
5.311355310485581960e+00 8.928801293099575742e-04
5.714285713350006013e+00 3.224412056102170287e-04
6.117216116214429178e+00 8.011629480285776357e-04
6.923076921943276396e+00 1.395274835501201594e-03
7.472527471303854085e+00 4.823339910097882474e-05
7.802197800920199988e+00 4.637762127003300453e-05
8.241758240408662672e+00 3.874247614382897355e-04
8.937728936265393997e+00 1.525837911344467062e-03
9.267399265881740789e+00 8.695293179641892280e-04
9.816849815242317590e+00 2.064703163378951364e-02
1.025641025473077939e+01 1.283641030654889730e-03
1.069597069421924118e+01 3.084479600793153722e-03
1.106227106045962749e+01 1.287906661981846901e-04
1.142857142670001203e+01 4.519578276871309198e-04
1.175824175631635882e+01 1.275272166324576545e-03
1.219780219580482061e+01 1.056640811964661489e-03
1.267399267191732015e+01 8.942934926350763931e-04
1.355311355089424552e+01 1.206946283848345193e-03
1.406593406363078458e+01 4.495221328987963373e-03
1.457875457636732186e+01 7.179126490345801156e-04
1.516483516235193818e+01 5.872648871823676030e-04
1.553113552859232449e+01 7.037110712170210891e-04
1.597069596808078629e+01 3.330847756159677577e-04
1.637362637094521034e+01 1.886224253879671719e-04
1.673992673718559487e+01 1.614375606450703328e-04
1.717948717667405489e+01 7.464269681743022162e-05
1.776556776265867299e+01 3.081557083482290918e-04
1.857142856838751754e+01 1.552812222722603096e-04
1.923076922762021113e+01 2.683459890575557111e-04
1.970695970373271422e+01 5.890200196955195158e-04
2.018315017984521376e+01 1.824362550214441879e-04
2.084249083907790734e+01 6.126078599331604172e-04
2.131868131519040688e+01 1.517476508009030591e-04
2.201465201104713643e+01 9.250652399640653899e-05
2.245421245053560000e+01 7.568268231907830095e-06
2.311355310976829358e+01 3.680017475488886382e-05
2.347985347600867811e+01 1.106629624426963863e-04
2.399267398874521717e+01 1.156270458240124137e-04
2.446886446485771671e+01 1.066332100586401128e-04
2.498168497759425577e+01 9.414120826941348023e-05
2.545787545370675531e+01 8.324820136383202123e-05
2.597069596644329437e+01 7.910531323819305623e-05
2.677655677217214247e+01 5.161751853381228028e-05
2.758241757790099058e+01 1.084304880247742147e-04
2.809523809063752964e+01 1.282188285130573967e-05
2.860805860337406870e+01 6.211851636413655232e-05
2.908424907948656823e+01 1.397378226194766811e-04
2.963369962884714681e+01 2.833738476079160503e-04
3.025641025145580087e+01 1.123019571548777981e-04
3.106227105718464898e+01 3.128787559819864246e-05
3.179487178966541805e+01 4.083008420342374112e-05
3.227106226577792114e+01 3.055088511156833189e-05
3.300366299825869021e+01 2.976755156655501420e-05
3.347985347437118975e+01 4.234756960489036073e-05
3.395604395048368929e+01 2.153982073041125697e-05
3.450549449984426786e+01 5.505582858550169808e-05
3.516483515907695789e+01 8.146710726830454750e-05
3.567765567181349695e+01 3.095461633345313458e-05
3.615384614792599649e+01 5.239831044762005324e-05
3.681318680715869363e+01 6.206743282276092229e-05
3.725274724664715364e+01 4.033861471713301661e-05
3.769230768613561366e+01 1.904250829952716868e-05
3.849816849186446177e+01 9.527088117553405381e-06
3.908424907784907987e+01 3.486807522110325051e-05
3.945054944408946085e+01 3.208047425790976997e-05
4.018315017657023702e+01 7.803199085498525877e-05
4.095238094567504561e+01 2.267930631175639998e-05
4.135531134853946611e+01 1.930050985652019796e-05
4.172161171477984709e+01 1.431667616194761292e-05
4.227106226414042567e+01 2.312813946855976101e-05
4.267399266700485327e+01 4.149358389590504115e-06
4.318681317974139233e+01 5.884680987979913446e-05
4.358974358260581283e+01 9.967936728021294543e-06
4.428571427846254238e+01 3.789159291334770523e-05
4.479853479119908144e+01 5.376571323773625768e-05
4.520146519406350905e+01 4.299361812594012177e-05
4.564102563355196907e+01 1.728026535235854233e-06
4.608058607304042908e+01 2.775991242615541947e-05
4.666666665902504718e+01 3.166603135687267640e-05
4.736263735488177673e+01 3.283478811818823503e-05
4.805860805073851338e+01 4.270902064245756363e-06
4.853479852685101292e+01 1.436175578133953049e-05
4.893772892971543342e+01 7.536505236066750970e-06
4.945054944245197248e+01 3.522162411164515697e-05
5.032967032142889963e+01 9.010479314559229457e-06
5.091575090741351062e+01 3.044118703695537016e-05
5.157509156664620775e+01 6.061414070787058467e-06
5.212454211600678633e+01 8.083149763625016237e-06
5.271062270199139732e+01 1.432587445601795669e-06
5.318681317810390397e+01 9.167746004100204768e-06
5.362637361759236398e+01 2.139921755411293487e-05
5.417582416695294256e+01 3.291748137826100678e-05
5.483516482618563259e+01 2.246260334055467077e-05
5.531135530229813213e+01 1.538135127574412288e-05
5.582417581503467119e+01 8.042178537624203544e-05
5.633699632777121025e+01 1.964103316195620701e-06
5.695970695037986786e+01 6.499451332006953555e-06
5.739926738986832788e+01 9.871091084421520525e-06
5.787545786598082742e+01 2.213068226918008141e-06
5.842490841534140600e+01 3.394770388188150405e-05
5.893772892807794506e+01 2.096873671529543066e-05
5.945054944081448411e+01 3.417529167246607041e-05
5.996336995355102317e+01 1.674357986003145317e-05
6.073260072265583176e+01 3.709846632533179332e-05
6.128205127201641034e+01 1.314741069401774930e-05
6.212454211436929796e+01 4.536089725275850220e-06
6.267399266372986943e+01 3.195611683784739093e-05
6.326007324971448753e+01 3.793447900815974280e-05
6.380952379907506611e+01 1.838139217372772262e-05
6.424908423856352613e+01 1.639559446650594657e-05
6.487179486117217664e+01 3.764336933175238813e-05
6.534798533728468328e+01 9.605294702519076840e-06
6.575091574014911089e+01 5.293095326407208940e-06
6.633699632613372899e+01 7.784429383986408754e-06
6.692307691211833287e+01 3.432745197249336560e-05
6.758241757135103001e+01 3.086609128080005618e-05
6.820512819395968052e+01 4.508306040039707454e-05
6.868131867007218716e+01 2.302485339351669624e-05
6.937728936592891671e+01 2.505701776626286762e-05
6.992673991528948818e+01 3.407517077501832795e-05
7.062271061114623194e+01 2.863091823748946450e-05
7.120879119713083583e+01 3.477956702034995089e-05
7.230769229585199298e+01 4.199617637377076789e-05
7.285714284521257866e+01 3.100066323023595050e-05
7.336996335794911772e+01 2.151738586274544297e-05
7.402930401718180065e+01 2.051747197354494663e-05
7.490842489615873490e+01 7.953729471599548176e-06
7.553113551876738541e+01 1.674289391561890525e-05
7.600732599487989205e+01 1.284584820678164588e-06
7.706959705697700258e+01 1.070650432199462231e-05
7.739926738659335115e+01 1.284653644360815601e-05
7.827838826557027119e+01 3.081201531903487501e-05
7.882783881493085687e+01 3.975264863340040354e-05
7.926739925441931689e+01 5.560407381733160102e-06
7.970695969390777691e+01 3.096430737691627515e-05
8.018315017002026934e+01 6.314277225541416384e-06
8.113553112224528263e+01 7.576880899651504385e-06
8.161172159835777506e+01 5.545289715885739115e-06
8.238095236746258365e+01 6.022643713133251720e-05
8.304029302669528079e+01 5.576840826437870323e-05
8.373626372255201034e+01 1.260508057811203904e-05
8.417582416204047036e+01 1.422690068012481627e-05
8.465201463815297700e+01 1.367098764132215248e-05
8.501831500439335798e+01 6.462950237112256011e-06
8.527472526076162751e+01 6.226618143420928027e-06
