Frequency Power
4.761904761125004826e-01 4.487522286082021652e-03
9.890109888490394852e-01 1.923103776954690480e-02
1.721611721329809441e+00 6.033364115418217780e-03
2.234432234066348499e+00 1.535031797908517799e-02
2.967032966547118455e+00 3.812452147040869960e-02
3.516483515907696145e+00 1.747075347254067532e-02
3.956043955396157941e+00 7.947878541046560219e-03
4.395604394884619737e+00 6.354422411368645940e-02
4.871794870997120164e+00 6.871554831929731211e-02
5.311355310485581960e+00 2.919259810029676758e-02
5.714285713350006013e+00 1.022141996127594668e-02
6.117216116214429178e+00 2.466990056903418937e-02
6.923076921943276396e+00 4.555962457251497982e-02
7.472527471303854085e+00 1.496870372726293377e-03
7.802197800920199988e+00 1.452381489433550313e-03
8.241758240408662672e+00 1.205176300351418033e-02
8.937728936265393997e+00 5.015291797953238401e-02
9.267399265881740789e+00 2.793768620218271825e-02
9.816849815242317590e+00 6.606244199745743284e-01
1.025641025473077939e+01 4.026270832823147794e-02
1.069597069421924118e+01 1.008087815871218096e-01
1.106227106045962749e+01 4.089343021209747124e-03
1.142857142670001203e+01 1.455282410064553424e-02
1.175824175631635882e+01 4.307295518328577849e-02
1.219780219580482061e+01 3.326043966797274237e-02
1.267399267191732015e+01 2.798007072890757937e-02
1.355311355089424552e+01 3.830532749568908019e-02
1.406593406363078458e+01 1.457198444621476685e-01
1.457875457636732186e+01 2.315971439268693643e-02
1.516483516235193818e+01 1.889502862412008322e-02
1.553113552859232449e+01 2.264951778238268390e-02
1.597069596808078629e+01 1.064226593655302928e-02
1.637362637094521034e+01 6.107071444288109281e-03
1.673992673718559487e+01 5.094987038632967959e-03
1.717948717667405489e+01 2.375562303074837695e-03
1.776556776265867299e+01 9.958839909221866779e-03
1.857142856838751754e+01 4.958619908870648928e-03
1.923076922762021113e+01 8.714214647373257072e-03
1.970695970373271422e+01 1.854738735849214074e-02
2.018315017984521376e+01 5.817301397097099543e-03
2.084249083907790734e+01 1.935907258851020038e-02
2.131868131519040688e+01 4.854668776474314017e-03
