Frequency Power
4.761904761125004826e-01 7.901566239368554290e-02
8.791208789769240362e-01 1.484136579737374839e-01
1.245421245217309014e+00 1.033372354887280610e-02
1.611721611457693992e+00 2.713613134789734371e-02
1.941391941074040561e+00 2.195184296021618006e-02
2.380952380562502579e+00 4.183605587271003318e-02
2.857142856675003006e+00 4.362681643984905183e-02
3.772893772275965230e+00 3.761271889245631356e-02
4.249084248388466101e+00 2.490094908287046604e-02
5.128205127365389693e+00 2.200717894828126478e-02
5.604395603477890120e+00 4.372809093189713309e-02
6.080586079590390547e+00 3.441929785359121308e-02
6.813186812071160503e+00 5.993112893211893777e-02
7.326007324807699561e+00 1.613433474658292066e-02
7.838827837544238619e+00 9.687569877804544372e-03
8.791208789769239473e+00 1.218393314106103360e-02
9.853479851866357109e+00 6.608919489450191739e-03
1.040293040122693391e+01 7.336652470881624422e-03
1.106227106045962749e+01 1.040569135819728423e-02
1.157509157319616655e+01 7.759580718912884815e-04
1.227106226905289788e+01 3.985028383924146649e-03
1.285714285503751242e+01 4.247112434431650312e-03
1.329670329452597599e+01 5.995471977061043881e-04
1.366300366076636053e+01 3.134597719559443097e-03
1.406593406363078458e+01 3.930100315665323481e-03
1.454212453974328412e+01 5.260096942099000937e-03
1.505494505247982318e+01 3.637057906801600786e-03
1.553113552859232449e+01 6.351713527421035815e-03
1.604395604132886177e+01 4.883187620985988096e-03
1.666666666393751584e+01 3.715148257970756016e-03
1.765567765278655799e+01 5.546172811903471792e-03
1.816849816552309704e+01 3.097140678315973231e-03
1.886446886137982659e+01 3.277266868503712557e-03
1.934065933749232613e+01 3.963852029452419150e-03
1.989010988685290471e+01 1.880393811412211244e-03
2.043956043621348329e+01 2.274482378058660745e-03
2.113553113207021283e+01 1.219386102147813032e-03
2.168498168143079141e+01 1.571693530483453914e-03
2.260073259703175452e+01 2.380221798773165306e-03
2.347985347600867811e+01 6.110601091968309063e-03
2.406593406199329266e+01 9.574715514351867874e-04
2.443223442823367719e+01 2.389199832802259282e-03
2.509157508746637077e+01 1.000412280186631061e-03
2.542124541708271934e+01 1.122986671673827314e-03
2.630036629605964293e+01 2.805629811302045098e-03
2.699633699191637248e+01 1.965785285271932654e-03
2.739926739478079654e+01 1.959745005948256361e-03
2.802197801738945060e+01 5.894528394523848493e-04
2.857142856675002918e+01 6.242721474662971375e-04
2.956043955559906777e+01 1.728996796288195543e-03
3.010989010495964635e+01 1.512526940739446777e-03
3.073260072756830041e+01 7.794933386293566779e-04
3.164835164316926353e+01 5.389174376309692005e-04
3.252747252214619067e+01 1.154712920380773777e-03
3.329670329125099926e+01 1.383694396794175625e-03
3.406593406035580074e+01 4.733165314902194496e-04
3.454212453646830738e+01 1.055326229985558036e-03
3.494505493933272788e+01 5.618639217593886627e-04
3.534798534219714838e+01 1.729005714515094048e-03
3.611721611130195697e+01 1.134941167895213345e-03
3.673992673391061459e+01 1.466775526927316690e-03
3.754578753963946269e+01 2.645105656472888553e-04
3.794871794250388319e+01 4.722929994395444410e-05
3.846153845524042225e+01 5.921971905280348997e-04
3.882783882148081034e+01 2.468615407825773219e-04
3.941391940746542843e+01 1.232174111414865341e-03
3.999999999345003943e+01 1.739484612271844516e-04
4.054945054281061800e+01 1.824625427876572302e-04
4.109890109217119658e+01 6.897807927085018937e-04
4.135531134853946611e+01 9.269048557902934355e-04
4.183150182465196565e+01 9.910873887255674478e-04
4.227106226414042567e+01 8.265786135692900069e-04
4.296703295999716232e+01 4.653966242369311627e-04
4.344322343610966186e+01 5.874747868527836064e-04
4.413919413196639141e+01 2.932330819489231276e-04
4.494505493769523952e+01 5.874674351311024193e-04
4.567765567017600858e+01 1.580885993758604675e-03
4.633699632940869861e+01 5.850014264726168022e-04
4.758241757462601385e+01 5.358586859322830376e-04
4.813186812398658532e+01 3.456470518624613531e-04
4.868131867334716389e+01 7.928944900046125573e-04
4.919413918608370295e+01 1.919831810668586177e-04
4.970695969882024201e+01 7.469257516379991914e-04
5.021978021155678107e+01 2.752451831245389738e-03
5.084249083416543868e+01 1.167502061288879737e-03
5.146520145677408919e+01 8.049066174020050443e-04
5.201465200613466777e+01 5.349146165841336259e-04
5.238095237237505586e+01 6.785697116915581856e-04
5.285714284848755540e+01 1.834725256891019899e-03
5.340659339784813398e+01 3.869072057367502009e-04
5.428571427682505401e+01 2.132553290536108603e-04
5.505494504592986260e+01 1.106391950959690956e-03
5.560439559529044118e+01 1.665415656278964934e-04
5.597069596153082927e+01 2.515528167073579312e-04
5.644688643764332880e+01 4.977631830205352754e-04
5.721611720674813739e+01 3.177983271191505018e-04
5.765567764623659741e+01 8.841687283236202271e-04
5.824175823222121551e+01 1.944132933037547072e-03
5.879120878158179409e+01 8.462600061089630993e-04
5.978021977043083268e+01 5.281492782312033774e-04
6.021978020991929270e+01 2.099041873713592202e-04
6.087912086915198273e+01 2.753877799321479292e-04
6.135531134526448938e+01 6.505215322522143497e-04
6.194139193124910037e+01 6.043901067511551215e-04
6.271062270035390895e+01 5.200046578904224956e-04
6.424908423856352613e+01 4.090761429779879812e-04
6.476190475130006519e+01 6.793366420083090664e-05
6.505494504429238134e+01 6.353603655475987472e-06
6.553113552040487377e+01 6.870356902406195548e-04
6.600732599651738042e+01 1.559868513012019429e-04
6.666666665575006334e+01 7.311978301690428292e-04
6.717948716848660240e+01 3.531640028024146541e-04
6.758241757135103001e+01 5.987560301451507643e-05
6.824175823058372714e+01 6.750013420432859988e-04
6.901098899968853573e+01 7.102297197936288274e-04
6.952380951242507479e+01 2.725232400651192519e-04
6.992673991528948818e+01 1.812299643606716225e-04
7.073260072101834339e+01 3.952031809537780074e-04
7.153846152674718439e+01 3.929007218209531159e-04
7.197802196623564441e+01 4.689284286170463897e-04
7.260073258884430913e+01 3.931898718469977057e-04
7.311355310158084819e+01 2.565849841688558623e-04
7.358974357769334063e+01 4.466467182663499676e-04
7.428571427355007017e+01 9.396216541470788115e-04
7.479853478628660923e+01 7.354149776612965272e-04
7.534798533564719492e+01 3.375367556574918634e-04
7.611721610475200350e+01 1.580134305803471270e-04
7.659340658086449594e+01 7.806205608053487640e-04
7.761904760633757405e+01 1.286494300688404736e-03
7.824175822894623877e+01 5.350544688282585270e-04
7.919413918117123785e+01 8.043207227132060906e-04
7.970695969390777691e+01 2.388751062415974346e-04
8.010989009677220452e+01 1.495490633035479648e-04
8.058608057288469695e+01 4.599463089568633792e-04
8.098901097574912455e+01 1.562167674304838034e-03
8.157509156173374265e+01 3.020934056381595323e-04
8.227106225759047220e+01 5.569439310884827460e-04
8.271062269707893222e+01 6.486799051060837106e-04
8.326007324643950369e+01 9.241142256315177782e-04
8.384615383242412179e+01 4.122948449402726219e-05
8.439560438178470747e+01 2.000554980834291644e-04
8.487179485789719990e+01 5.991505925153220793e-04
8.534798533400970655e+01 9.296053072882818572e-04
8.578754577349816657e+01 1.649965847440741152e-04
8.677655676234719806e+01 1.145883283365023387e-03
8.739926738495586278e+01 7.027584084645494521e-04
8.802197800756451329e+01 1.647488898497774783e-03
8.864468863017316380e+01 2.675961510335925241e-04
8.930402928940586094e+01 4.229826424164377240e-04
9.003663002188663711e+01 5.814368450275652364e-04
9.058608057124720858e+01 4.870714589539880401e-04
9.164835163334431911e+01 6.146333977750766120e-04
9.223443221932893721e+01 3.872577604209053977e-04
9.285714284193760193e+01 8.108080830430608107e-04
9.326007324480201532e+01 3.717990797588232124e-04
9.369963368429047534e+01 7.631189029926749041e-04
9.402930401390682391e+01 6.055612916063952923e-04
9.446886445339528393e+01 2.559835188196896757e-04
9.487179485625971154e+01 6.937763011111500178e-04
9.556776555211644109e+01 4.705219296823185456e-04
9.630036628459721726e+01 1.545016499898231284e-03
9.692307690720586777e+01 5.801722758394116429e-04
